Year,Geo Level,State,State ANSI,Ag District,Ag District Code,County,County ANSI,Region,Data Item,Domain,Domain Category,Value,CV (%)
2022,AMERICAN INDIAN RESERVATION,,,,,,,AK-CHIN,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,BAD RIVER,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"231,000",78
2022,AMERICAN INDIAN RESERVATION,,,,,,,BLACKFEET,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"52,569,000",16.5
2022,AMERICAN INDIAN RESERVATION,,,,,,,BOIS FORTE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,BURNS PAIUTE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,CHEYENNE RIVER,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"75,299,000",8.4
2022,AMERICAN INDIAN RESERVATION,,,,,,,COCOPAH,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,COEUR D'ALENE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"39,682,000",16.8
2022,AMERICAN INDIAN RESERVATION,,,,,,,COLORADO RIVER,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,COLVILLE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,CROW,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"26,230,000",12.8
2022,AMERICAN INDIAN RESERVATION,,,,,,,CROW CREEK,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"24,015,000",37.2
2022,AMERICAN INDIAN RESERVATION,,,,,,,FLANDREAU SANTEE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,FLATHEAD,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"29,296,000",7.9
2022,AMERICAN INDIAN RESERVATION,,,,,,,FOND DU LAC,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"546,000",(H)
2022,AMERICAN INDIAN RESERVATION,,,,,,,FORT BELKNAP,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"11,620,000",82.6
2022,AMERICAN INDIAN RESERVATION,,,,,,,FORT BERTHOLD,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"104,436,000",27.2
2022,AMERICAN INDIAN RESERVATION,,,,,,,FORT HALL,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"196,787,000",1.8
2022,AMERICAN INDIAN RESERVATION,,,,,,,FORT MCDOWELL,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,FORT MOJAVE,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,FORT PECK,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"163,848,000",24.8
2022,AMERICAN INDIAN RESERVATION,,,,,,,FORT YUMA-QUECHAN,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED, (D),(D)
2022,AMERICAN INDIAN RESERVATION,,,,,,,GILA RIVER,"CROP TOTALS - SALES, MEASURED IN $",TOTAL,NOT SPECIFIED,"34,889,000",31.1
