# Title: February 1972 - January 1973 Contiguous U.S. County Palmer Z-Index
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,0.03,0.07,82,-0.04
AL-003,Baldwin County,Alabama,-0.41,-0.42,36,0.01
AL-005,Barbour County,Alabama,0.17,0.16,84,0.01
AL-007,Bibb County,Alabama,-0.12,-0.08,62,-0.04
AL-009,Blount County,Alabama,0.06,0.01,70,0.04
AL-011,Bullock County,Alabama,-0.33,-0.34,42,0.01
AL-013,Butler County,Alabama,-0.28,-0.23,48,-0.05
AL-015,Calhoun County,Alabama,0.42,0.42,94,-0
AL-017,Chambers County,Alabama,0.41,0.46,97,-0.05
AL-019,Cherokee County,Alabama,0.54,0.57,103,-0.03
AL-021,Chilton County,Alabama,0.04,0.1,76,-0.06
AL-023,Choctaw County,Alabama,-0.37,-0.4,41,0.03
AL-025,Clarke County,Alabama,-0.41,-0.38,41,-0.03
AL-027,Clay County,Alabama,0.4,0.4,91,0.01
AL-029,Cleburne County,Alabama,0.41,0.41,94,-0
AL-031,Coffee County,Alabama,-0.13,-0.18,62,0.05
AL-033,Colbert County,Alabama,0.62,0.62,107,0.01
AL-035,Conecuh County,Alabama,-0.36,-0.29,46,-0.07
AL-037,Coosa County,Alabama,0.09,0.15,82,-0.07
AL-039,Covington County,Alabama,-0.32,-0.32,53,-0
AL-041,Crenshaw County,Alabama,-0.31,-0.3,48,-0.01
AL-043,Cullman County,Alabama,-0.04,-0.06,64,0.02
AL-045,Dale County,Alabama,-0.04,-0.1,64,0.06
AL-047,Dallas County,Alabama,0.03,0.06,71,-0.02
AL-049,DeKalb County,Alabama,0.24,0.27,84,-0.03
AL-051,Elmore County,Alabama,-0.11,-0.04,68,-0.07
AL-053,Escambia County,Alabama,-0.17,-0.16,55,-0.01
AL-055,Etowah County,Alabama,0.1,0.08,75,0.01
AL-057,Fayette County,Alabama,-0.16,-0.15,59,-0.01
AL-059,Franklin County,Alabama,0.3,0.32,91,-0.01
AL-061,Geneva County,Alabama,-0.43,-0.49,35,0.06
AL-063,Greene County,Alabama,-0.48,-0.46,39,-0.02
AL-065,Hale County,Alabama,-0.71,-0.68,20,-0.03
AL-067,Henry County,Alabama,0.1,0.08,72,0.03
AL-069,Houston County,Alabama,-0.01,-0.07,63,0.06
AL-071,Jackson County,Alabama,0.52,0.56,98,-0.04
AL-073,Jefferson County,Alabama,0.06,0.06,72,0
AL-075,Lamar County,Alabama,-0.01,0.03,75,-0.05
AL-077,Lauderdale County,Alabama,0.68,0.66,107,0.02
AL-079,Lawrence County,Alabama,0.57,0.54,98,0.03
AL-081,Lee County,Alabama,0.6,0.65,104,-0.05
AL-083,Limestone County,Alabama,0.36,0.38,91,-0.02
AL-085,Lowndes County,Alabama,0.24,0.22,87,0.02
AL-087,Macon County,Alabama,-0.03,-0.02,71,-0.01
AL-089,Madison County,Alabama,0.12,0.16,78,-0.03
AL-091,Marengo County,Alabama,-0.34,-0.32,42,-0.01
AL-093,Marion County,Alabama,0.02,0.03,64,-0.01
AL-095,Marshall County,Alabama,-0.01,-0.02,68,0.01
AL-097,Mobile County,Alabama,-0.71,-0.74,21,0.02
AL-099,Monroe County,Alabama,-0.28,-0.21,53,-0.07
AL-101,Montgomery County,Alabama,-0.41,-0.39,41,-0.03
AL-103,Morgan County,Alabama,0.09,0.1,74,-0.01
AL-105,Perry County,Alabama,-0.11,-0.05,68,-0.06
AL-107,Pickens County,Alabama,-0.13,-0.09,67,-0.03
AL-109,Pike County,Alabama,-0.06,-0.09,64,0.03
AL-111,Randolph County,Alabama,0.45,0.47,96,-0.02
AL-113,Russell County,Alabama,0.39,0.41,89,-0.02
AL-115,St. Clair County,Alabama,0.34,0.3,89,0.03
AL-117,Shelby County,Alabama,0.06,0.09,77,-0.03
AL-119,Sumter County,Alabama,-0.37,-0.32,48,-0.05
AL-121,Talladega County,Alabama,0.59,0.58,102,0.01
AL-123,Tallapoosa County,Alabama,0.25,0.31,91,-0.06
AL-125,Tuscaloosa County,Alabama,-0.14,-0.12,67,-0.01
AL-127,Walker County,Alabama,-0.15,-0.17,59,0.02
AL-129,Washington County,Alabama,-0.59,-0.62,28,0.04
AL-131,Wilcox County,Alabama,0.04,0.07,80,-0.03
AL-133,Winston County,Alabama,0.12,0.09,70,0.03
AZ-001,Apache County,Arizona,-0.18,-0.18,75,-0.01
AZ-003,Cochise County,Arizona,0.06,-0.03,80,0.09
AZ-005,Coconino County,Arizona,-0.11,-0.21,64,0.1
AZ-007,Gila County,Arizona,-0.35,-0.43,58,0.09
AZ-009,Graham County,Arizona,0.05,0.02,81,0.03
AZ-011,Greenlee County,Arizona,0.56,0.59,106,-0.03
AZ-012,La Paz County,Arizona,-0.33,-0.43,51,0.11
AZ-013,Maricopa County,Arizona,-0.47,-0.56,44,0.09
AZ-015,Mohave County,Arizona,-0.36,-0.4,56,0.05
AZ-017,Navajo County,Arizona,-0.19,-0.28,63,0.08
AZ-019,Pima County,Arizona,-0.26,-0.33,63,0.07
AZ-021,Pinal County,Arizona,-0.29,-0.4,62,0.11
AZ-023,Santa Cruz County,Arizona,-0.24,-0.35,57,0.11
AZ-025,Yavapai County,Arizona,-0.22,-0.32,60,0.1
AZ-027,Yuma County,Arizona,-0.61,-0.68,30,0.07
AR-001,Arkansas County,Arkansas,-0.07,-0.05,70,-0.02
AR-003,Ashley County,Arkansas,0.3,0.31,88,-0
AR-005,Baxter County,Arkansas,-0.06,-0.11,50,0.05
AR-007,Benton County,Arkansas,0.12,0.1,74,0.02
AR-009,Boone County,Arkansas,-0.09,-0.13,58,0.04
AR-011,Bradley County,Arkansas,0.15,0.16,79,-0.02
AR-013,Calhoun County,Arkansas,-0.01,0.01,71,-0.02
AR-015,Carroll County,Arkansas,-0.06,-0.1,59,0.03
AR-017,Chicot County,Arkansas,0.3,0.27,90,0.02
AR-019,Clark County,Arkansas,-0.14,-0.08,61,-0.06
AR-021,Clay County,Arkansas,0.88,0.87,111,0.01
AR-023,Cleburne County,Arkansas,0.34,0.37,94,-0.03
AR-025,Cleveland County,Arkansas,-0.12,-0.11,59,-0.01
AR-027,Columbia County,Arkansas,-0.04,-0.02,68,-0.02
AR-029,Conway County,Arkansas,-0.07,-0.07,61,-0.01
AR-031,Craighead County,Arkansas,0.61,0.59,104,0.01
AR-033,Crawford County,Arkansas,-0.04,-0.05,63,0
AR-035,Crittenden County,Arkansas,0.73,0.71,109,0.02
AR-037,Cross County,Arkansas,0.18,0.16,80,0.02
AR-039,Dallas County,Arkansas,-0.14,-0.1,59,-0.03
AR-041,Desha County,Arkansas,0.21,0.23,85,-0.01
AR-043,Drew County,Arkansas,0.32,0.33,91,-0.01
AR-045,Faulkner County,Arkansas,0.04,0.08,73,-0.04
AR-047,Franklin County,Arkansas,-0.14,-0.15,60,0.02
AR-049,Fulton County,Arkansas,0.16,0.13,70,0.03
AR-051,Garland County,Arkansas,0.19,0.22,85,-0.04
AR-053,Grant County,Arkansas,-0.1,-0.08,64,-0.03
AR-055,Greene County,Arkansas,0.54,0.5,95,0.04
AR-057,Hempstead County,Arkansas,-0.2,-0.14,57,-0.07
AR-059,Hot Spring County,Arkansas,0.2,0.23,87,-0.03
AR-061,Howard County,Arkansas,-0.2,-0.15,59,-0.05
AR-063,Independence County,Arkansas,0.17,0.17,80,-0
AR-065,Izard County,Arkansas,0.27,0.24,85,0.03
AR-067,Jackson County,Arkansas,0.34,0.36,92,-0.02
AR-069,Jefferson County,Arkansas,0.01,0.03,77,-0.02
AR-071,Johnson County,Arkansas,-0.1,-0.1,64,-0
AR-073,Lafayette County,Arkansas,-0.1,-0.09,68,-0.01
AR-075,Lawrence County,Arkansas,0.54,0.5,94,0.05
AR-077,Lee County,Arkansas,0.24,0.21,82,0.03
AR-079,Lincoln County,Arkansas,0.18,0.2,88,-0.02
AR-081,Little River County,Arkansas,-0.4,-0.38,41,-0.02
AR-083,Logan County,Arkansas,-0.05,-0.07,63,0.02
AR-085,Lonoke County,Arkansas,-0.25,-0.24,49,-0.01
AR-087,Madison County,Arkansas,-0.16,-0.17,53,0
AR-089,Marion County,Arkansas,-0.1,-0.17,50,0.07
