# Title: February 1982 - January 1983 Contiguous U.S. County Palmer Z-Index
# Missing: -99
# Note: Period of Record: 130 Years
ID,Name,State,Value,Anomaly (1901-2000 base period),Rank,1901-2000 Mean
AL-001,Autauga County,Alabama,0.23,0.27,91,-0.04
AL-003,Baldwin County,Alabama,0.04,0.03,70,0.01
AL-005,Barbour County,Alabama,0.27,0.26,88,0.01
AL-007,Bibb County,Alabama,0.37,0.42,99,-0.04
AL-009,Blount County,Alabama,0.5,0.45,98,0.04
AL-011,Bullock County,Alabama,0.39,0.38,91,0.01
AL-013,Butler County,Alabama,0.49,0.54,103,-0.05
AL-015,Calhoun County,Alabama,0.51,0.51,99,-0
AL-017,Chambers County,Alabama,0.32,0.37,91,-0.05
AL-019,Cherokee County,Alabama,0.28,0.31,90,-0.03
AL-021,Chilton County,Alabama,0.3,0.36,98,-0.06
AL-023,Choctaw County,Alabama,-0.1,-0.13,60,0.03
AL-025,Clarke County,Alabama,0.2,0.23,92,-0.03
AL-027,Clay County,Alabama,0.7,0.69,110,0.01
AL-029,Cleburne County,Alabama,0.57,0.57,100,-0
AL-031,Coffee County,Alabama,0,-0.04,69,0.05
AL-033,Colbert County,Alabama,-0.03,-0.03,65,0.01
AL-035,Conecuh County,Alabama,0.06,0.13,79,-0.07
AL-037,Coosa County,Alabama,0.22,0.29,88,-0.07
AL-039,Covington County,Alabama,-0.04,-0.04,70,-0
AL-041,Crenshaw County,Alabama,0.41,0.42,93,-0.01
AL-043,Cullman County,Alabama,0.35,0.32,90,0.02
AL-045,Dale County,Alabama,0.32,0.25,84,0.06
AL-047,Dallas County,Alabama,0.16,0.19,83,-0.02
AL-049,DeKalb County,Alabama,-0.01,0.02,71,-0.03
AL-051,Elmore County,Alabama,0.17,0.23,86,-0.07
AL-053,Escambia County,Alabama,0.11,0.12,78,-0.01
AL-055,Etowah County,Alabama,0.15,0.14,79,0.01
AL-057,Fayette County,Alabama,0.36,0.37,90,-0.01
AL-059,Franklin County,Alabama,0.06,0.07,70,-0.01
AL-061,Geneva County,Alabama,-0.07,-0.13,66,0.06
AL-063,Greene County,Alabama,0.36,0.38,94,-0.02
AL-065,Hale County,Alabama,0.14,0.17,85,-0.03
AL-067,Henry County,Alabama,0.24,0.21,85,0.03
AL-069,Houston County,Alabama,0.69,0.63,101,0.06
AL-071,Jackson County,Alabama,0.04,0.07,73,-0.04
AL-073,Jefferson County,Alabama,0.63,0.63,107,0
AL-075,Lamar County,Alabama,0.45,0.5,100,-0.05
AL-077,Lauderdale County,Alabama,0.02,0,68,0.02
AL-079,Lawrence County,Alabama,0.12,0.09,72,0.03
AL-081,Lee County,Alabama,0.38,0.43,95,-0.05
AL-083,Limestone County,Alabama,0.2,0.23,79,-0.02
AL-085,Lowndes County,Alabama,0.56,0.54,103,0.02
AL-087,Macon County,Alabama,0.24,0.25,83,-0.01
AL-089,Madison County,Alabama,-0.04,-0.01,70,-0.03
AL-091,Marengo County,Alabama,0.09,0.1,83,-0.01
AL-093,Marion County,Alabama,0.18,0.19,77,-0.01
AL-095,Marshall County,Alabama,-0.38,-0.39,44,0.01
AL-097,Mobile County,Alabama,0.35,0.33,97,0.02
AL-099,Monroe County,Alabama,0.1,0.17,84,-0.07
AL-101,Montgomery County,Alabama,0.4,0.43,96,-0.03
AL-103,Morgan County,Alabama,-0.02,-0.01,67,-0.01
AL-105,Perry County,Alabama,0.11,0.17,85,-0.06
AL-107,Pickens County,Alabama,0.56,0.6,104,-0.03
AL-109,Pike County,Alabama,0.29,0.26,83,0.03
AL-111,Randolph County,Alabama,0.59,0.61,100,-0.02
AL-113,Russell County,Alabama,0.23,0.25,81,-0.02
AL-115,St. Clair County,Alabama,0.53,0.5,96,0.03
AL-117,Shelby County,Alabama,0.46,0.48,98,-0.03
AL-119,Sumter County,Alabama,0.09,0.14,82,-0.05
AL-121,Talladega County,Alabama,0.85,0.84,112,0.01
AL-123,Tallapoosa County,Alabama,0.24,0.3,90,-0.06
AL-125,Tuscaloosa County,Alabama,0.68,0.69,104,-0.01
AL-127,Walker County,Alabama,0.33,0.31,85,0.02
AL-129,Washington County,Alabama,0.12,0.09,80,0.04
AL-131,Wilcox County,Alabama,0.31,0.34,94,-0.03
AL-133,Winston County,Alabama,0.21,0.19,77,0.03
AZ-001,Apache County,Arizona,1.01,1.02,118,-0.01
AZ-003,Cochise County,Arizona,-0,-0.09,75,0.09
AZ-005,Coconino County,Arizona,1.24,1.14,120,0.1
AZ-007,Gila County,Arizona,1.09,1,119,0.09
AZ-009,Graham County,Arizona,0.73,0.71,110,0.03
AZ-011,Greenlee County,Arizona,0.64,0.67,109,-0.03
AZ-012,La Paz County,Arizona,0.46,0.35,101,0.11
AZ-013,Maricopa County,Arizona,0.67,0.58,110,0.09
AZ-015,Mohave County,Arizona,0.48,0.43,102,0.05
AZ-017,Navajo County,Arizona,0.99,0.91,112,0.08
AZ-019,Pima County,Arizona,0.17,0.1,93,0.07
AZ-021,Pinal County,Arizona,0.72,0.61,111,0.11
AZ-023,Santa Cruz County,Arizona,-0.39,-0.5,48,0.11
AZ-025,Yavapai County,Arizona,1.25,1.15,120,0.1
AZ-027,Yuma County,Arizona,0.43,0.36,101,0.07
AR-001,Arkansas County,Arkansas,0.28,0.29,95,-0.02
AR-003,Ashley County,Arkansas,0.81,0.82,108,-0
AR-005,Baxter County,Arkansas,0.38,0.33,87,0.05
AR-007,Benton County,Arkansas,-0.18,-0.21,53,0.02
AR-009,Boone County,Arkansas,0.38,0.34,96,0.04
AR-011,Bradley County,Arkansas,0.19,0.21,86,-0.02
AR-013,Calhoun County,Arkansas,0.05,0.06,77,-0.02
AR-015,Carroll County,Arkansas,0.05,0.01,72,0.03
AR-017,Chicot County,Arkansas,0.84,0.81,108,0.02
AR-019,Clark County,Arkansas,0.07,0.13,75,-0.06
AR-021,Clay County,Arkansas,-0.06,-0.07,58,0.01
AR-023,Cleburne County,Arkansas,0.32,0.34,92,-0.03
AR-025,Cleveland County,Arkansas,0.25,0.26,90,-0.01
AR-027,Columbia County,Arkansas,0.01,0.02,73,-0.02
AR-029,Conway County,Arkansas,0.26,0.27,90,-0.01
AR-031,Craighead County,Arkansas,0.17,0.15,79,0.01
AR-033,Crawford County,Arkansas,-0.05,-0.05,63,0
AR-035,Crittenden County,Arkansas,1.08,1.06,122,0.02
AR-037,Cross County,Arkansas,0.53,0.5,100,0.02
AR-039,Dallas County,Arkansas,0.06,0.09,79,-0.03
AR-041,Desha County,Arkansas,0.48,0.49,97,-0.01
AR-043,Drew County,Arkansas,0.48,0.49,98,-0.01
AR-045,Faulkner County,Arkansas,0.22,0.26,87,-0.04
AR-047,Franklin County,Arkansas,0.01,-0,69,0.02
AR-049,Fulton County,Arkansas,0.62,0.59,104,0.03
AR-051,Garland County,Arkansas,0.47,0.51,103,-0.04
AR-053,Grant County,Arkansas,0.18,0.2,87,-0.03
AR-055,Greene County,Arkansas,0.49,0.45,91,0.04
AR-057,Hempstead County,Arkansas,0.13,0.19,78,-0.07
AR-059,Hot Spring County,Arkansas,0.17,0.21,85,-0.03
AR-061,Howard County,Arkansas,0.43,0.48,100,-0.05
AR-063,Independence County,Arkansas,0.27,0.27,89,-0
AR-065,Izard County,Arkansas,0.51,0.49,96,0.03
AR-067,Jackson County,Arkansas,-0.02,-0,67,-0.02
AR-069,Jefferson County,Arkansas,0.55,0.56,106,-0.02
AR-071,Johnson County,Arkansas,-0.03,-0.03,67,-0
AR-073,Lafayette County,Arkansas,0.05,0.06,74,-0.01
AR-075,Lawrence County,Arkansas,-0.04,-0.09,58,0.05
AR-077,Lee County,Arkansas,0.45,0.42,97,0.03
AR-079,Lincoln County,Arkansas,0.43,0.45,100,-0.02
AR-081,Little River County,Arkansas,0.48,0.5,94,-0.02
AR-083,Logan County,Arkansas,0.12,0.1,70,0.02
AR-085,Lonoke County,Arkansas,0.43,0.43,98,-0.01
AR-087,Madison County,Arkansas,0.14,0.14,79,0
AR-089,Marion County,Arkansas,0.39,0.32,87,0.07
AR-091,Miller County,Arkansas,-0.01,-0.01,73,0.01
AR-093,Mississippi County,Arkansas,0.24,0.23,80,0.01
AR-095,Monroe County,Arkansas,0.24,0.22,94,0.03
AR-097,Montgomery County,Arkansas,0.59,0.62,106,-0.03
AR-099,Nevada County,Arkansas,-0.02,0.05,71,-0.07
AR-101,Newton County,Arkansas,0.51,0.51,102,0
AR-103,Ouachita County,Arkansas,-0.05,0,70,-0.05
AR-105,Perry County,Arkansas,0.45,0.43,94,0.02
AR-107,Phillips County,Arkansas,0.44,0.45,100,-0.01
AR-109,Pike County,Arkansas,0.26,0.34,92,-0.07
AR-111,Poinsett County,Arkansas,0.29,0.26,84,0.03
AR-113,Polk County,Arkansas,0.34,0.35,91,-0.02
AR-115,Pope County,Arkansas,0.07,0.09,78,-0.02
AR-117,Prairie County,Arkansas,0.22,0.22,88,0
AR-119,Pulaski County,Arkansas,0.49,0.51,102,-0.03
AR-121,Randolph County,Arkansas,0.45,0.4,89,0.05
AR-123,St. Francis County,Arkansas,0.55,0.52,104,0.03
AR-125,Saline County,Arkansas,0.35,0.38,97,-0.03
AR-127,Scott County,Arkansas,0.29,0.26,84,0.04
AR-129,Searcy County,Arkansas,0.23,0.2,85,0.04
AR-131,Sebastian County,Arkansas,0.32,0.27,79,0.05
AR-133,Sevier County,Arkansas,0.35,0.38,91,-0.03
AR-135,Sharp County,Arkansas,0.56,0.52,99,0.04
AR-137,Stone County,Arkansas,0.52,0.52,97,0
AR-139,Union County,Arkansas,0.32,0.33,90,-0.01
AR-141,Van Buren County,Arkansas,0.36,0.36,99,0
AR-143,Washington County,Arkansas,0.1,0.1,77,0
AR-145,White County,Arkansas,0.02,0.07,75,-0.05
AR-147,Woodruff County,Arkansas,0.21,0.2,86,0.01
AR-149,Yell County,Arkansas,0.39,0.38,94,0
CA-001,Alameda County,California,2.2,2.1,129,0.1
CA-003,Alpine County,California,1.97,2.01,130,-0.04
CA-005,Amador County,California,1.83,1.78,127,0.05
CA-007,Butte County,California,0.9,0.84,121,0.06
CA-009,Calaveras County,California,1.84,1.79,127,0.06
CA-011,Colusa County,California,1.27,1.2,121,0.06
CA-013,Contra Costa County,California,2.15,2.07,130,0.08
CA-015,Del Norte County,California,0.36,0.35,99,0
CA-017,El Dorado County,California,1.67,1.62,127,0.05
CA-019,Fresno County,California,2.6,2.54,130,0.05
CA-021,Glenn County,California,1.25,1.19,122,0.06
CA-023,Humboldt County,California,0.68,0.68,111,-0
CA-025,Imperial County,California,0.66,0.49,105,0.17
CA-027,Inyo County,California,1.03,1,116,0.03
CA-029,Kern County,California,1.41,1.39,123,0.02
CA-031,Kings County,California,1.38,1.29,118,0.09
CA-033,Lake County,California,0.97,0.95,116,0.03
CA-035,Lassen County,California,1.12,1.03,117,0.09
CA-037,Los Angeles County,California,1.52,1.44,124,0.08
CA-039,Madera County,California,2.41,2.37,130,0.04
CA-041,Marin County,California,1.18,1.1,118,0.08
CA-043,Mariposa County,California,2.09,2.06,130,0.03
CA-045,Mendocino County,California,0.84,0.84,119,0
CA-047,Merced County,California,2.48,2.44,129,0.04
CA-049,Modoc County,California,0.86,0.74,109,0.12
CA-051,Mono County,California,2.64,2.66,130,-0.02
CA-053,Monterey County,California,2.06,1.98,129,0.08
CA-055,Napa County,California,1.57,1.49,127,0.08
CA-057,Nevada County,California,1.45,1.42,125,0.02
CA-059,Orange County,California,0.81,0.73,113,0.08
CA-061,Placer County,California,1.65,1.62,128,0.03
CA-063,Plumas County,California,1.11,1.07,124,0.04
CA-065,Riverside County,California,0.76,0.62,103,0.13
CA-067,Sacramento County,California,2.42,2.39,130,0.02
CA-069,San Benito County,California,2.06,1.99,128,0.07
CA-071,San Bernardino County,California,0.75,0.64,103,0.1
CA-073,San Diego County,California,1.23,1.07,120,0.16
CA-075,San Francisco County,California,1.79,1.67,127,0.12
CA-077,San Joaquin County,California,2.93,2.89,130,0.04
CA-079,San Luis Obispo County,California,2.12,2.04,130,0.08
CA-081,San Mateo County,California,1.84,1.74,128,0.1
CA-083,Santa Barbara County,California,1.63,1.48,125,0.15
CA-085,Santa Clara County,California,1.88,1.77,127,0.11
CA-087,Santa Cruz County,California,1.58,1.51,126,0.07
CA-089,Shasta County,California,0.84,0.8,118,0.04
CA-091,Sierra County,California,1.46,1.45,127,0.01
CA-093,Siskiyou County,California,0.87,0.85,117,0.02
CA-095,Solano County,California,2.13,2.06,130,0.07
CA-097,Sonoma County,California,1.02,0.93,114,0.09
CA-099,Stanislaus County,California,2.5,2.46,130,0.04
CA-101,Sutter County,California,1.89,1.83,128,0.06
CA-103,Tehama County,California,1,0.93,118,0.06
CA-105,Trinity County,California,0.69,0.71,112,-0.02
CA-107,Tulare County,California,2.27,2.24,130,0.03
CA-109,Tuolumne County,California,2.12,2.08,130,0.04
CA-111,Ventura County,California,1.28,1.15,123,0.13
CA-113,Yolo County,California,2.17,2.12,130,0.05
CA-115,Yuba County,California,1.18,1.11,123,0.07
CO-001,Adams County,Colorado,-0.11,-0.22,61,0.11
CO-003,Alamosa County,Colorado,0.23,0.15,78,0.08
CO-005,Arapahoe County,Colorado,-0.09,-0.19,61,0.1
CO-007,Archuleta County,Colorado,0.86,0.75,113,0.1
CO-009,Baca County,Colorado,0.06,-0.13,65,0.18
CO-011,Bent County,Colorado,0.08,-0.13,67,0.22
CO-013,Boulder County,Colorado,0.46,0.35,86,0.11
CO-014,Broomfield County,Colorado,0,-0.06,67,0.07
CO-015,Chaffee County,Colorado,0.21,0.1,79,0.11
CO-017,Cheyenne County,Colorado,0.31,0.01,70,0.29
CO-019,Clear Creek County,Colorado,0.37,0.26,78,0.1
CO-021,Conejos County,Colorado,1.1,0.97,116,0.13
CO-023,Costilla County,Colorado,1.24,1.1,119,0.15
CO-025,Crowley County,Colorado,-0.09,-0.22,70,0.13
CO-027,Custer County,Colorado,0.64,0.62,104,0.02
CO-029,Delta County,Colorado,0.76,0.57,104,0.19
CO-031,Denver County,Colorado,-0.21,-0.24,62,0.03
CO-033,Dolores County,Colorado,0.83,0.75,113,0.08
CO-035,Douglas County,Colorado,0.15,0.07,76,0.08
CO-037,Eagle County,Colorado,-0.04,-0.07,72,0.02
