commodity_desc,CV (%),domaincat_desc,group_desc,source_desc,short_desc,statisticcat_desc,class_desc,watershed_code,agg_level_desc,watershed_desc,zip_5,load_time,asd_desc,prodn_practice_desc,sector_desc,country_code,state_name,county_name,state_ansi,week_ending,begin_code,county_code,end_code,Value,state_alpha,location_desc,reference_period_desc,state_fips_code,county_ansi,country_name,asd_code,unit_desc,year,region_desc,domain_desc,util_practice_desc,congr_district_code,freq_desc
CROP TOTALS,0.1,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,ALL CLASSES,00000000,STATE,,,2024-07-02 12:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,ALASKA,,02,,00,,00,"27,899,000",AK,ALASKA,YEAR,02,,UNITED STATES,,$,2022,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
CROP TOTALS,0.2,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,ALL CLASSES,00000000,STATE,,,2018-02-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,ALASKA,,02,,00,,00,"21,642,000",AK,ALASKA,YEAR,02,,UNITED STATES,,$,2017,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
CROP TOTALS,0.4,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,ALL CLASSES,00000000,STATE,,,2012-12-31 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,ALASKA,,02,,00,,00,"17,909,000",AK,ALASKA,YEAR,02,,UNITED STATES,,$,2012,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,ALL CLASSES,00000000,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,ALASKA,,02,,00,,00,"20,210,000",AK,ALASKA,YEAR,02,,UNITED STATES,,$,2007,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,ALL CLASSES,00000000,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,ALASKA,,02,,00,,00,"16,047,000",AK,ALASKA,YEAR,02,,UNITED STATES,,$,2002,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,ALL CLASSES,00000000,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,ALASKA,,02,,00,,00,"11,982,000",AK,ALASKA,YEAR,02,,UNITED STATES,,$,1997,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
CROP TOTALS,0.1,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,ALL CLASSES,00000000,STATE,,,2024-07-02 12:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,ALASKA,,02,,00,,00,"22,069,000",AK,ALASKA,YEAR,02,,UNITED STATES,,$,2022,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
CROP TOTALS,0.3,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,ALL CLASSES,00000000,STATE,,,2018-02-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,ALASKA,,02,,00,,00,"16,314,000",AK,ALASKA,YEAR,02,,UNITED STATES,,$,2017,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
CROP TOTALS,0.7,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,ALL CLASSES,00000000,STATE,,,2012-12-31 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,ALASKA,,02,,00,,00,"11,560,000",AK,ALASKA,YEAR,02,,UNITED STATES,,$,2012,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,ALL CLASSES,00000000,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,ALASKA,,02,,00,,00,"15,963,000",AK,ALASKA,YEAR,02,,UNITED STATES,,$,2007,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
