week_ending,state_ansi,county_code,begin_code,county_name,end_code,Value,country_name,asd_code,reference_period_desc,state_alpha,location_desc,state_fips_code,county_ansi,util_practice_desc,domain_desc,freq_desc,congr_district_code,year,unit_desc,region_desc,group_desc,CV (%),commodity_desc,domaincat_desc,short_desc,statisticcat_desc,source_desc,zip_5,watershed_code,class_desc,watershed_desc,agg_level_desc,state_name,country_code,load_time,sector_desc,prodn_practice_desc,asd_desc
,05,,00,,00,"5,156,237,000",UNITED STATES,,YEAR,AR,ARKANSAS,05,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2022,$,,CROP TOTALS,7.3,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,ARKANSAS,9000,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,
,05,,00,,00,"3,467,001,000",UNITED STATES,,YEAR,AR,ARKANSAS,05,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2017,$,,CROP TOTALS,5.1,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,ARKANSAS,9000,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,
,05,,00,,00,"4,669,814,000",UNITED STATES,,YEAR,AR,ARKANSAS,05,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2012,$,,CROP TOTALS,5.8,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,ARKANSAS,9000,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,
,05,,00,,00,"2,730,603,000",UNITED STATES,,YEAR,AR,ARKANSAS,05,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2007,$,,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,ARKANSAS,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,
,05,,00,,00,"1,512,097,000",UNITED STATES,,YEAR,AR,ARKANSAS,05,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2002,$,,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,ARKANSAS,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,
,05,,00,,00,"2,037,988,000",UNITED STATES,,YEAR,AR,ARKANSAS,05,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,1997,$,,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,ARKANSAS,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,
,05,,00,,00,"2,074,024,000",UNITED STATES,,YEAR,AR,ARKANSAS,05,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2022,$,,CROP TOTALS,7.2,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,ARKANSAS,9000,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,
,05,,00,,00,"1,760,962,000",UNITED STATES,,YEAR,AR,ARKANSAS,05,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2017,$,,CROP TOTALS,9.4,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,ARKANSAS,9000,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,
,05,,00,,00,"1,990,521,000",UNITED STATES,,YEAR,AR,ARKANSAS,05,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2012,$,,CROP TOTALS,4.7,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,ARKANSAS,9000,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,
,05,,00,,00,"945,743,000",UNITED STATES,,YEAR,AR,ARKANSAS,05,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2007,$,,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,ARKANSAS,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,
