load_time,asd_desc,prodn_practice_desc,sector_desc,country_code,state_name,watershed_code,class_desc,agg_level_desc,watershed_desc,zip_5,source_desc,short_desc,statisticcat_desc,CV (%),commodity_desc,domaincat_desc,group_desc,unit_desc,year,region_desc,domain_desc,util_practice_desc,congr_district_code,freq_desc,state_fips_code,state_alpha,location_desc,reference_period_desc,county_ansi,asd_code,country_name,end_code,Value,county_name,week_ending,state_ansi,begin_code,county_code
2024-07-02 12:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,CALIFORNIA,00000000,ALL CLASSES,STATE,,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,8.2,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,$,2022,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,06,CA,CALIFORNIA,YEAR,,,UNITED STATES,00,"42,602,169,000",,,06,00,
2018-02-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,CALIFORNIA,00000000,ALL CLASSES,STATE,,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,3.2,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,$,2017,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,06,CA,CALIFORNIA,YEAR,,,UNITED STATES,00,"33,268,242,000",,,06,00,
2012-12-31 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,CALIFORNIA,00000000,ALL CLASSES,STATE,,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,2.2,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,$,2012,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,06,CA,CALIFORNIA,YEAR,,,UNITED STATES,00,"30,075,685,000",,,06,00,
2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,CALIFORNIA,00000000,ALL CLASSES,STATE,,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,$,2007,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,06,CA,CALIFORNIA,YEAR,,,UNITED STATES,00,"22,626,748,000",,,06,00,
2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,CALIFORNIA,00000000,ALL CLASSES,STATE,,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,$,2002,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,06,CA,CALIFORNIA,YEAR,,,UNITED STATES,00,"19,021,500,000",,,06,00,
2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,CALIFORNIA,00000000,ALL CLASSES,STATE,,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,$,1997,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,06,CA,CALIFORNIA,YEAR,,,UNITED STATES,00,"17,076,950,000",,,06,00,
2024-07-02 12:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,CALIFORNIA,00000000,ALL CLASSES,STATE,,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,8.3,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,$,2022,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,06,CA,CALIFORNIA,YEAR,,,UNITED STATES,00,"38,992,990,000",,,06,00,
2018-02-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,CALIFORNIA,00000000,ALL CLASSES,STATE,,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,4.1,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,$,2017,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,06,CA,CALIFORNIA,YEAR,,,UNITED STATES,00,"29,607,910,000",,,06,00,
2012-12-31 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,CALIFORNIA,00000000,ALL CLASSES,STATE,,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,2.3,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,$,2012,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,06,CA,CALIFORNIA,YEAR,,,UNITED STATES,00,"27,292,020,000",,,06,00,
2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,CALIFORNIA,00000000,ALL CLASSES,STATE,,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,$,2007,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,06,CA,CALIFORNIA,YEAR,,,UNITED STATES,00,"21,048,725,000",,,06,00,
