state_fips_code,county_code,congr_district_code,watershed_code,county_ansi,statisticcat_desc,week_ending,unit_desc,state_name,reference_period_desc,agg_level_desc,commodity_desc,zip_5,country_code,source_desc,domain_desc,state_ansi,country_name,sector_desc,prodn_practice_desc,load_time,Value,watershed_desc,county_name,end_code,region_desc,group_desc,asd_code,domaincat_desc,year,CV (%),location_desc,short_desc,begin_code,class_desc,asd_desc,state_alpha,util_practice_desc,freq_desc
08,,,00000000,,SALES,,$,COLORADO,YEAR,STATE,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,08,UNITED STATES,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,"2,348,554,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),2022,20.5,COLORADO,"CROP TOTALS - SALES, MEASURED IN $",00,ALL CLASSES,,CO,ALL UTILIZATION PRACTICES,ANNUAL
08,,,00000000,,SALES,,$,COLORADO,YEAR,STATE,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,08,UNITED STATES,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,"1,866,851,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),2017,7.0,COLORADO,"CROP TOTALS - SALES, MEASURED IN $",00,ALL CLASSES,,CO,ALL UTILIZATION PRACTICES,ANNUAL
08,,,00000000,,SALES,,$,COLORADO,YEAR,STATE,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,08,UNITED STATES,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,"2,080,416,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),2012,6.1,COLORADO,"CROP TOTALS - SALES, MEASURED IN $",00,ALL CLASSES,,CO,ALL UTILIZATION PRACTICES,ANNUAL
08,,,00000000,,SALES,,$,COLORADO,YEAR,STATE,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,08,UNITED STATES,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,"1,627,558,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),2007,,COLORADO,"CROP TOTALS - SALES, MEASURED IN $",00,ALL CLASSES,,CO,ALL UTILIZATION PRACTICES,ANNUAL
08,,,00000000,,SALES,,$,COLORADO,YEAR,STATE,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,08,UNITED STATES,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,"1,118,095,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),2002,,COLORADO,"CROP TOTALS - SALES, MEASURED IN $",00,ALL CLASSES,,CO,ALL UTILIZATION PRACTICES,ANNUAL
08,,,00000000,,SALES,,$,COLORADO,YEAR,STATE,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,08,UNITED STATES,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,"1,143,521,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),1997,,COLORADO,"CROP TOTALS - SALES, MEASURED IN $",00,ALL CLASSES,,CO,ALL UTILIZATION PRACTICES,ANNUAL
08,,,00000000,,SALES,,$,COLORADO,YEAR,STATE,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,08,UNITED STATES,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,"1,303,495,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2022,27.4,COLORADO,"CROP TOTALS - SALES, MEASURED IN $",00,ALL CLASSES,,CO,ALL UTILIZATION PRACTICES,ANNUAL
08,,,00000000,,SALES,,$,COLORADO,YEAR,STATE,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,08,UNITED STATES,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,"1,005,326,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2017,9.8,COLORADO,"CROP TOTALS - SALES, MEASURED IN $",00,ALL CLASSES,,CO,ALL UTILIZATION PRACTICES,ANNUAL
08,,,00000000,,SALES,,$,COLORADO,YEAR,STATE,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,08,UNITED STATES,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,"1,190,331,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2012,9.3,COLORADO,"CROP TOTALS - SALES, MEASURED IN $",00,ALL CLASSES,,CO,ALL UTILIZATION PRACTICES,ANNUAL
08,,,00000000,,SALES,,$,COLORADO,YEAR,STATE,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,08,UNITED STATES,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,"943,863,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2007,,COLORADO,"CROP TOTALS - SALES, MEASURED IN $",00,ALL CLASSES,,CO,ALL UTILIZATION PRACTICES,ANNUAL
