source_desc,statisticcat_desc,short_desc,domaincat_desc,CV (%),commodity_desc,group_desc,sector_desc,prodn_practice_desc,asd_desc,load_time,state_name,country_code,watershed_desc,agg_level_desc,watershed_code,class_desc,zip_5,Value,end_code,county_name,county_code,begin_code,state_ansi,week_ending,region_desc,year,unit_desc,freq_desc,congr_district_code,util_practice_desc,domain_desc,county_ansi,location_desc,state_alpha,state_fips_code,reference_period_desc,asd_code,country_name
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),17.9,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"3,292,729,000",00,,,00,13,,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),7.2,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"2,579,090,000",00,,,00,13,,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),1.4,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"2,818,881,000",00,,,00,13,,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"1,655,862,000",00,,,00,13,,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"1,166,394,000",00,,,00,13,,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"1,153,799,000",00,,,00,13,,,1997,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),11.5,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"978,372,000",00,,,00,13,,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),6.7,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"727,983,000",00,,,00,13,,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2.1,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"501,124,000",00,,,00,13,,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,CROP TOTALS,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,GEORGIA,9000,,STATE,00000000,ALL CLASSES,,"517,552,000",00,,,00,13,,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,GEORGIA,GA,13,YEAR,,UNITED STATES
