CV (%),commodity_desc,domaincat_desc,group_desc,source_desc,short_desc,statisticcat_desc,watershed_code,class_desc,watershed_desc,agg_level_desc,zip_5,load_time,sector_desc,prodn_practice_desc,asd_desc,state_name,country_code,county_name,week_ending,state_ansi,county_code,begin_code,end_code,Value,location_desc,state_fips_code,reference_period_desc,state_alpha,county_ansi,country_name,asd_code,year,unit_desc,region_desc,util_practice_desc,domain_desc,freq_desc,congr_district_code
2.9,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"4,331,186,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2022,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
18.4,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"2,949,298,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2017,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
4.5,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"3,069,669,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2012,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"2,067,525,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2007,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"1,607,428,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2002,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"1,640,898,000",IDAHO,16,YEAR,ID,,UNITED STATES,,1997,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
4.3,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"2,898,203,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2022,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
27.7,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"1,871,562,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2017,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
4.9,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"2,487,637,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2012,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"1,756,472,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2007,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"1,413,947,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2002,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"1,433,642,000",IDAHO,16,YEAR,ID,,UNITED STATES,,1997,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
13.0,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"433,607,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2022,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
6.3,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,,STATE,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,IDAHO,9000,,,16,,00,00,"261,536,000",IDAHO,16,YEAR,ID,,UNITED STATES,,2017,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,
