agg_level_desc,reference_period_desc,unit_desc,state_name,statisticcat_desc,week_ending,watershed_code,county_ansi,state_fips_code,county_code,congr_district_code,country_name,domain_desc,state_ansi,country_code,source_desc,commodity_desc,zip_5,domaincat_desc,asd_code,end_code,region_desc,group_desc,county_name,Value,watershed_desc,prodn_practice_desc,sector_desc,load_time,freq_desc,state_alpha,asd_desc,util_practice_desc,class_desc,begin_code,short_desc,location_desc,year,CV (%)
STATE,YEAR,$,ILLINOIS,SALES,,00000000,,17,,,UNITED STATES,IRRIGATION STATUS,17,9000,CENSUS,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),,00,,CROP TOTALS,,"2,766,071,000",,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,ANNUAL,IL,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",ILLINOIS,2022,5.9
STATE,YEAR,$,ILLINOIS,SALES,,00000000,,17,,,UNITED STATES,IRRIGATION STATUS,17,9000,CENSUS,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),,00,,CROP TOTALS,,"1,623,284,000",,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,ANNUAL,IL,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",ILLINOIS,2017,2.7
STATE,YEAR,$,ILLINOIS,SALES,,00000000,,17,,,UNITED STATES,IRRIGATION STATUS,17,9000,CENSUS,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),,00,,CROP TOTALS,,"1,670,635,000",,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,ANNUAL,IL,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",ILLINOIS,2012,1.4
STATE,YEAR,$,ILLINOIS,SALES,,00000000,,17,,,UNITED STATES,IRRIGATION STATUS,17,9000,CENSUS,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),,00,,CROP TOTALS,,"1,241,900,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,ANNUAL,IL,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",ILLINOIS,2007,
STATE,YEAR,$,ILLINOIS,SALES,,00000000,,17,,,UNITED STATES,IRRIGATION STATUS,17,9000,CENSUS,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),,00,,CROP TOTALS,,"710,409,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,ANNUAL,IL,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",ILLINOIS,2002,
STATE,YEAR,$,ILLINOIS,SALES,,00000000,,17,,,UNITED STATES,IRRIGATION STATUS,17,9000,CENSUS,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),,00,,CROP TOTALS,,"613,989,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,ANNUAL,IL,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",ILLINOIS,1997,
STATE,YEAR,$,ILLINOIS,SALES,,00000000,,17,,,UNITED STATES,IRRIGATION STATUS,17,9000,CENSUS,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,00,,CROP TOTALS,,"274,732,000",,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,ANNUAL,IL,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",ILLINOIS,2022,9.6
STATE,YEAR,$,ILLINOIS,SALES,,00000000,,17,,,UNITED STATES,IRRIGATION STATUS,17,9000,CENSUS,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,00,,CROP TOTALS,,"241,607,000",,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,ANNUAL,IL,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",ILLINOIS,2017,4.9
STATE,YEAR,$,ILLINOIS,SALES,,00000000,,17,,,UNITED STATES,IRRIGATION STATUS,17,9000,CENSUS,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,00,,CROP TOTALS,,"217,550,000",,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,ANNUAL,IL,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",ILLINOIS,2012,2.7
STATE,YEAR,$,ILLINOIS,SALES,,00000000,,17,,,UNITED STATES,IRRIGATION STATUS,17,9000,CENSUS,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,00,,CROP TOTALS,,"249,032,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,ANNUAL,IL,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",ILLINOIS,2007,
STATE,YEAR,$,ILLINOIS,SALES,,00000000,,17,,,UNITED STATES,IRRIGATION STATUS,17,9000,CENSUS,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,00,,CROP TOTALS,,"152,448,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,ANNUAL,IL,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",ILLINOIS,2002,
STATE,YEAR,$,ILLINOIS,SALES,,00000000,,17,,,UNITED STATES,IRRIGATION STATUS,17,9000,CENSUS,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,00,,CROP TOTALS,,"127,713,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,ANNUAL,IL,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",ILLINOIS,1997,
STATE,YEAR,$,ILLINOIS,SALES,,00000000,,17,,,UNITED STATES,IRRIGATION STATUS,17,9000,CENSUS,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),,00,,CROP TOTALS,,"19,523,749,000",,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,ANNUAL,IL,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",ILLINOIS,2022,1.2
