state_alpha,state_fips_code,reference_period_desc,location_desc,county_ansi,asd_code,country_name,unit_desc,year,region_desc,domain_desc,util_practice_desc,congr_district_code,freq_desc,county_name,state_ansi,week_ending,begin_code,county_code,end_code,Value,class_desc,watershed_code,agg_level_desc,watershed_desc,zip_5,load_time,asd_desc,prodn_practice_desc,sector_desc,country_code,state_name,commodity_desc,CV (%),domaincat_desc,group_desc,source_desc,short_desc,statisticcat_desc
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2022,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"2,505,444,000",ALL CLASSES,00000000,STATE,,,2024-07-02 12:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,6.5,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2017,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"1,356,980,000",ALL CLASSES,00000000,STATE,,,2018-02-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,6.8,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2012,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"1,307,635,000",ALL CLASSES,00000000,STATE,,,2012-12-31 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,1.7,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2007,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"925,181,000",ALL CLASSES,00000000,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2002,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"503,258,000",ALL CLASSES,00000000,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,1997,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"394,912,000",ALL CLASSES,00000000,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2022,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"131,508,000",ALL CLASSES,00000000,STATE,,,2024-07-02 12:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,8.0,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2017,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"119,345,000",ALL CLASSES,00000000,STATE,,,2018-02-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,22.8,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2012,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,                 (D),ALL CLASSES,00000000,STATE,,,2012-12-31 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,(D),IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
IN,18,YEAR,INDIANA,,,UNITED STATES,$,2007,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,,18,,00,,00,"78,721,000",ALL CLASSES,00000000,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,INDIANA,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES
