region_desc,unit_desc,year,congr_district_code,freq_desc,domain_desc,util_practice_desc,county_ansi,state_fips_code,state_alpha,location_desc,reference_period_desc,asd_code,country_name,Value,end_code,county_name,begin_code,county_code,week_ending,state_ansi,prodn_practice_desc,asd_desc,sector_desc,load_time,country_code,state_name,agg_level_desc,watershed_desc,watershed_code,class_desc,zip_5,source_desc,statisticcat_desc,short_desc,domaincat_desc,CV (%),commodity_desc,group_desc
,$,2022,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"3,992,307,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),4.4,CROP TOTALS,CROP TOTALS
,$,2017,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"2,881,594,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),3.1,CROP TOTALS,CROP TOTALS
,$,2012,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"3,643,246,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),11.8,CROP TOTALS,CROP TOTALS
,$,2007,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"2,491,015,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,CROP TOTALS
,$,2002,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"1,130,110,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,CROP TOTALS
,$,1997,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"1,372,102,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,CROP TOTALS
,$,2022,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"324,700,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),18.1,CROP TOTALS,CROP TOTALS
,$,2017,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"153,234,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),12.3,CROP TOTALS,CROP TOTALS
,$,2012,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"270,512,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),13.2,CROP TOTALS,CROP TOTALS
,$,2007,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"205,241,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,CROP TOTALS
,$,2002,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"209,941,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,CROP TOTALS
,$,1997,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"209,224,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,CROP TOTALS
,$,2022,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"4,423,708,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),2.2,CROP TOTALS,CROP TOTALS
,$,2017,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"3,578,843,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),4.7,CROP TOTALS,CROP TOTALS
,$,2012,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,20,KS,KANSAS,YEAR,,UNITED STATES,"3,340,747,000",00,,00,,,20,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,9000,KANSAS,STATE,,00000000,ALL CLASSES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),11.9,CROP TOTALS,CROP TOTALS
