commodity_desc,zip_5,country_code,source_desc,domain_desc,state_ansi,country_name,state_fips_code,county_code,congr_district_code,watershed_code,county_ansi,state_name,unit_desc,statisticcat_desc,week_ending,agg_level_desc,reference_period_desc,short_desc,location_desc,CV (%),year,begin_code,class_desc,freq_desc,asd_desc,state_alpha,util_practice_desc,Value,watershed_desc,prodn_practice_desc,sector_desc,load_time,county_name,asd_code,region_desc,end_code,group_desc,domaincat_desc
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,19.4,2022,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"1,962,983,000",,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION)
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,8.4,2017,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"1,338,518,000",,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION)
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,7.8,2012,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"1,648,982,000",,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION)
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2007,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"886,010,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION)
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2002,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"489,546,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION)
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,1997,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"687,248,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION)
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,14.3,2022,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"534,941,000",,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED)
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,9.3,2017,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"412,502,000",,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED)
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,13.3,2012,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"341,615,000",,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED)
CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,22,UNITED STATES,22,,,00000000,,LOUISIANA,$,SALES,,STATE,YEAR,"CROP TOTALS - SALES, MEASURED IN $",LOUISIANA,,2007,00,ALL CLASSES,ANNUAL,,LA,ALL UTILIZATION PRACTICES,"206,321,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED)
