group_desc,region_desc,end_code,asd_code,domaincat_desc,load_time,prodn_practice_desc,sector_desc,watershed_desc,Value,county_name,class_desc,begin_code,util_practice_desc,asd_desc,state_alpha,freq_desc,CV (%),year,location_desc,short_desc,week_ending,statisticcat_desc,unit_desc,state_name,reference_period_desc,agg_level_desc,congr_district_code,county_code,state_fips_code,county_ansi,watershed_code,state_ansi,domain_desc,country_name,zip_5,commodity_desc,country_code,source_desc
CROP TOTALS,,00,,IRRIGATION STATUS: (ANY ON OPERATION),2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,"3,292,528,000",,ALL CLASSES,00,ALL UTILIZATION PRACTICES,,MI,ANNUAL,18.9,2022,MICHIGAN,"CROP TOTALS - SALES, MEASURED IN $",,SALES,$,MICHIGAN,YEAR,STATE,,,26,,00000000,26,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,,00,,IRRIGATION STATUS: (ANY ON OPERATION),2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,"2,212,499,000",,ALL CLASSES,00,ALL UTILIZATION PRACTICES,,MI,ANNUAL,1.9,2017,MICHIGAN,"CROP TOTALS - SALES, MEASURED IN $",,SALES,$,MICHIGAN,YEAR,STATE,,,26,,00000000,26,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,,00,,IRRIGATION STATUS: (ANY ON OPERATION),2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,"2,277,057,000",,ALL CLASSES,00,ALL UTILIZATION PRACTICES,,MI,ANNUAL,1.7,2012,MICHIGAN,"CROP TOTALS - SALES, MEASURED IN $",,SALES,$,MICHIGAN,YEAR,STATE,,,26,,00000000,26,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,,00,,IRRIGATION STATUS: (ANY ON OPERATION),2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,"1,618,391,000",,ALL CLASSES,00,ALL UTILIZATION PRACTICES,,MI,ANNUAL,,2007,MICHIGAN,"CROP TOTALS - SALES, MEASURED IN $",,SALES,$,MICHIGAN,YEAR,STATE,,,26,,00000000,26,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,,00,,IRRIGATION STATUS: (ANY ON OPERATION),2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,"1,201,299,000",,ALL CLASSES,00,ALL UTILIZATION PRACTICES,,MI,ANNUAL,,2002,MICHIGAN,"CROP TOTALS - SALES, MEASURED IN $",,SALES,$,MICHIGAN,YEAR,STATE,,,26,,00000000,26,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,,00,,IRRIGATION STATUS: (ANY ON OPERATION),2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,"982,640,000",,ALL CLASSES,00,ALL UTILIZATION PRACTICES,,MI,ANNUAL,,1997,MICHIGAN,"CROP TOTALS - SALES, MEASURED IN $",,SALES,$,MICHIGAN,YEAR,STATE,,,26,,00000000,26,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,,00,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,"872,431,000",,ALL CLASSES,00,ALL UTILIZATION PRACTICES,,MI,ANNUAL,16.2,2022,MICHIGAN,"CROP TOTALS - SALES, MEASURED IN $",,SALES,$,MICHIGAN,YEAR,STATE,,,26,,00000000,26,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,,00,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,"700,355,000",,ALL CLASSES,00,ALL UTILIZATION PRACTICES,,MI,ANNUAL,5.2,2017,MICHIGAN,"CROP TOTALS - SALES, MEASURED IN $",,SALES,$,MICHIGAN,YEAR,STATE,,,26,,00000000,26,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,,00,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,"575,998,000",,ALL CLASSES,00,ALL UTILIZATION PRACTICES,,MI,ANNUAL,8.6,2012,MICHIGAN,"CROP TOTALS - SALES, MEASURED IN $",,SALES,$,MICHIGAN,YEAR,STATE,,,26,,00000000,26,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,,00,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,"509,989,000",,ALL CLASSES,00,ALL UTILIZATION PRACTICES,,MI,ANNUAL,,2007,MICHIGAN,"CROP TOTALS - SALES, MEASURED IN $",,SALES,$,MICHIGAN,YEAR,STATE,,,26,,00000000,26,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
