freq_desc,state_alpha,asd_desc,util_practice_desc,class_desc,begin_code,short_desc,location_desc,year,CV (%),domaincat_desc,asd_code,group_desc,region_desc,end_code,county_name,watershed_desc,Value,load_time,sector_desc,prodn_practice_desc,country_name,state_ansi,domain_desc,source_desc,country_code,zip_5,commodity_desc,agg_level_desc,reference_period_desc,unit_desc,state_name,week_ending,statisticcat_desc,county_ansi,watershed_code,congr_district_code,county_code,state_fips_code
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2022,9.8,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,,00,,,"2,495,180,000",2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2017,6.3,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,,00,,,"1,767,380,000",2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2012,1.4,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,,00,,,"1,632,636,000",2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2007,,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,,00,,,"1,131,803,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2002,,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,,00,,,"634,066,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,1997,,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,,00,,,"709,736,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2022,10.4,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,,00,,,"353,077,000",2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2017,15.2,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,,00,,,"287,960,000",2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2012,3.6,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,,00,,,"249,994,000",2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
ANNUAL,MO,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MISSOURI,2007,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,,00,,,"151,497,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,UNITED STATES,29,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,STATE,YEAR,$,MISSOURI,,SALES,,00000000,,,29
