asd_code,group_desc,end_code,region_desc,domaincat_desc,watershed_desc,Value,load_time,prodn_practice_desc,sector_desc,county_name,begin_code,class_desc,freq_desc,state_alpha,util_practice_desc,asd_desc,short_desc,location_desc,CV (%),year,state_name,unit_desc,week_ending,statisticcat_desc,agg_level_desc,reference_period_desc,congr_district_code,county_code,state_fips_code,county_ansi,watershed_code,state_ansi,domain_desc,country_name,zip_5,commodity_desc,country_code,source_desc
,CROP TOTALS,00,,IRRIGATION STATUS: (ANY ON OPERATION),,"2,434,000,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,21.8,2022,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,IRRIGATION STATUS: (ANY ON OPERATION),,"1,656,865,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,6.2,2017,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,IRRIGATION STATUS: (ANY ON OPERATION),,"2,198,499,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,9.7,2012,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,IRRIGATION STATUS: (ANY ON OPERATION),,"1,200,304,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2007,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,IRRIGATION STATUS: (ANY ON OPERATION),,"668,985,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2002,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,IRRIGATION STATUS: (ANY ON OPERATION),,"858,373,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,1997,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,"501,228,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,34.4,2022,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,"319,204,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,21.1,2017,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,"278,379,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,9.5,2012,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,"121,824,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2007,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,"65,634,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,2002,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,"71,629,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,,1997,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,IRRIGATION STATUS: (NONE ON OPERATION),,"884,183,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,14.4,2022,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
,CROP TOTALS,00,,IRRIGATION STATUS: (NONE ON OPERATION),,"635,024,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,00,ALL CLASSES,ANNUAL,MS,ALL UTILIZATION PRACTICES,,"CROP TOTALS - SALES, MEASURED IN $",MISSISSIPPI,16.3,2017,MISSISSIPPI,$,,SALES,STATE,YEAR,,,28,,00000000,28,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
