short_desc,statisticcat_desc,source_desc,group_desc,commodity_desc,CV (%),domaincat_desc,state_name,country_code,load_time,sector_desc,prodn_practice_desc,asd_desc,zip_5,class_desc,watershed_code,watershed_desc,agg_level_desc,end_code,Value,state_ansi,week_ending,county_code,begin_code,county_name,util_practice_desc,domain_desc,freq_desc,congr_district_code,year,unit_desc,region_desc,country_name,asd_code,state_alpha,reference_period_desc,location_desc,state_fips_code,county_ansi
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,6.3,IRRIGATION STATUS: (ANY ON OPERATION),NORTH DAKOTA,9000,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"887,472,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2022,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,9.6,IRRIGATION STATUS: (ANY ON OPERATION),NORTH DAKOTA,9000,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"576,591,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2017,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,5.1,IRRIGATION STATUS: (ANY ON OPERATION),NORTH DAKOTA,9000,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"775,568,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2012,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"399,797,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2007,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"185,501,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2002,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"159,069,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,1997,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,20.0,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),NORTH DAKOTA,9000,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"85,087,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2022,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,15.7,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),NORTH DAKOTA,9000,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"66,777,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2017,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,15.0,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),NORTH DAKOTA,9000,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"68,649,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2012,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),NORTH DAKOTA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,,ALL CLASSES,00000000,,STATE,00,"42,982,000",38,,,00,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2007,$,,UNITED STATES,,ND,YEAR,NORTH DAKOTA,38,
