country_name,asd_code,state_alpha,state_fips_code,location_desc,reference_period_desc,county_ansi,util_practice_desc,domain_desc,freq_desc,congr_district_code,year,unit_desc,region_desc,state_ansi,week_ending,county_code,begin_code,county_name,end_code,Value,zip_5,watershed_code,class_desc,watershed_desc,agg_level_desc,state_name,country_code,load_time,sector_desc,prodn_practice_desc,asd_desc,group_desc,CV (%),commodity_desc,domaincat_desc,short_desc,statisticcat_desc,source_desc
UNITED STATES,,NE,31,NEBRASKA,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2022,$,,31,,,00,,00,"11,425,654,000",,00000000,ALL CLASSES,,STATE,NEBRASKA,9000,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,CROP TOTALS,3.3,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NE,31,NEBRASKA,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2017,$,,31,,,00,,00,"7,456,872,000",,00000000,ALL CLASSES,,STATE,NEBRASKA,9000,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,CROP TOTALS,7.3,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NE,31,NEBRASKA,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2012,$,,31,,,00,,00,"9,651,846,000",,00000000,ALL CLASSES,,STATE,NEBRASKA,9000,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,CROP TOTALS,8.1,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NE,31,NEBRASKA,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2007,$,,31,,,00,,00,"5,584,187,000",,00000000,ALL CLASSES,,STATE,NEBRASKA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NE,31,NEBRASKA,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2002,$,,31,,,00,,00,"2,759,448,000",,00000000,ALL CLASSES,,STATE,NEBRASKA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NE,31,NEBRASKA,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,1997,$,,31,,,00,,00,"2,863,174,000",,00000000,ALL CLASSES,,STATE,NEBRASKA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NE,31,NEBRASKA,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2022,$,,31,,,00,,00,"1,830,135,000",,00000000,ALL CLASSES,,STATE,NEBRASKA,9000,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,CROP TOTALS,8.7,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NE,31,NEBRASKA,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2017,$,,31,,,00,,00,"1,043,053,000",,00000000,ALL CLASSES,,STATE,NEBRASKA,9000,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,CROP TOTALS,7.8,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NE,31,NEBRASKA,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2012,$,,31,,,00,,00,"1,556,572,000",,00000000,ALL CLASSES,,STATE,NEBRASKA,9000,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,CROP TOTALS,9.7,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NE,31,NEBRASKA,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2007,$,,31,,,00,,00,"902,116,000",,00000000,ALL CLASSES,,STATE,NEBRASKA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NE,31,NEBRASKA,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2002,$,,31,,,00,,00,"634,272,000",,00000000,ALL CLASSES,,STATE,NEBRASKA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
UNITED STATES,,NE,31,NEBRASKA,YEAR,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,1997,$,,31,,,00,,00,"630,215,000",,00000000,ALL CLASSES,,STATE,NEBRASKA,9000,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS
