asd_code,region_desc,end_code,group_desc,domaincat_desc,Value,watershed_desc,sector_desc,prodn_practice_desc,load_time,county_name,class_desc,begin_code,freq_desc,state_alpha,asd_desc,util_practice_desc,short_desc,location_desc,CV (%),year,unit_desc,state_name,statisticcat_desc,week_ending,agg_level_desc,reference_period_desc,state_fips_code,county_code,congr_district_code,watershed_code,county_ansi,domain_desc,state_ansi,country_name,commodity_desc,zip_5,country_code,source_desc
,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"1,151,168,000",,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,ALL CLASSES,00,ANNUAL,NJ,,ALL UTILIZATION PRACTICES,"CROP TOTALS - SALES, MEASURED IN $",NEW JERSEY,1.9,2022,$,NEW JERSEY,SALES,,STATE,YEAR,34,,,00000000,,IRRIGATION STATUS,34,UNITED STATES,CROP TOTALS,,9000,CENSUS
,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"826,008,000",,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,ALL CLASSES,00,ANNUAL,NJ,,ALL UTILIZATION PRACTICES,"CROP TOTALS - SALES, MEASURED IN $",NEW JERSEY,2.9,2017,$,NEW JERSEY,SALES,,STATE,YEAR,34,,,00000000,,IRRIGATION STATUS,34,UNITED STATES,CROP TOTALS,,9000,CENSUS
,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"731,652,000",,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,ALL CLASSES,00,ANNUAL,NJ,,ALL UTILIZATION PRACTICES,"CROP TOTALS - SALES, MEASURED IN $",NEW JERSEY,2.8,2012,$,NEW JERSEY,SALES,,STATE,YEAR,34,,,00000000,,IRRIGATION STATUS,34,UNITED STATES,CROP TOTALS,,9000,CENSUS
,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"747,447,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,ALL CLASSES,00,ANNUAL,NJ,,ALL UTILIZATION PRACTICES,"CROP TOTALS - SALES, MEASURED IN $",NEW JERSEY,,2007,$,NEW JERSEY,SALES,,STATE,YEAR,34,,,00000000,,IRRIGATION STATUS,34,UNITED STATES,CROP TOTALS,,9000,CENSUS
,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"578,872,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,ALL CLASSES,00,ANNUAL,NJ,,ALL UTILIZATION PRACTICES,"CROP TOTALS - SALES, MEASURED IN $",NEW JERSEY,,2002,$,NEW JERSEY,SALES,,STATE,YEAR,34,,,00000000,,IRRIGATION STATUS,34,UNITED STATES,CROP TOTALS,,9000,CENSUS
,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"488,690,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,ALL CLASSES,00,ANNUAL,NJ,,ALL UTILIZATION PRACTICES,"CROP TOTALS - SALES, MEASURED IN $",NEW JERSEY,,1997,$,NEW JERSEY,SALES,,STATE,YEAR,34,,,00000000,,IRRIGATION STATUS,34,UNITED STATES,CROP TOTALS,,9000,CENSUS
,,00,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"584,771,000",,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,ALL CLASSES,00,ANNUAL,NJ,,ALL UTILIZATION PRACTICES,"CROP TOTALS - SALES, MEASURED IN $",NEW JERSEY,1.6,2022,$,NEW JERSEY,SALES,,STATE,YEAR,34,,,00000000,,IRRIGATION STATUS,34,UNITED STATES,CROP TOTALS,,9000,CENSUS
,,00,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"406,908,000",,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,ALL CLASSES,00,ANNUAL,NJ,,ALL UTILIZATION PRACTICES,"CROP TOTALS - SALES, MEASURED IN $",NEW JERSEY,6.1,2017,$,NEW JERSEY,SALES,,STATE,YEAR,34,,,00000000,,IRRIGATION STATUS,34,UNITED STATES,CROP TOTALS,,9000,CENSUS
,,00,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"329,934,000",,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,ALL CLASSES,00,ANNUAL,NJ,,ALL UTILIZATION PRACTICES,"CROP TOTALS - SALES, MEASURED IN $",NEW JERSEY,4.9,2012,$,NEW JERSEY,SALES,,STATE,YEAR,34,,,00000000,,IRRIGATION STATUS,34,UNITED STATES,CROP TOTALS,,9000,CENSUS
,,00,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"448,155,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,ALL CLASSES,00,ANNUAL,NJ,,ALL UTILIZATION PRACTICES,"CROP TOTALS - SALES, MEASURED IN $",NEW JERSEY,,2007,$,NEW JERSEY,SALES,,STATE,YEAR,34,,,00000000,,IRRIGATION STATUS,34,UNITED STATES,CROP TOTALS,,9000,CENSUS
,,00,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"354,256,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,ALL CLASSES,00,ANNUAL,NJ,,ALL UTILIZATION PRACTICES,"CROP TOTALS - SALES, MEASURED IN $",NEW JERSEY,,2002,$,NEW JERSEY,SALES,,STATE,YEAR,34,,,00000000,,IRRIGATION STATUS,34,UNITED STATES,CROP TOTALS,,9000,CENSUS
,,00,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"322,080,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,ALL CLASSES,00,ANNUAL,NJ,,ALL UTILIZATION PRACTICES,"CROP TOTALS - SALES, MEASURED IN $",NEW JERSEY,,1997,$,NEW JERSEY,SALES,,STATE,YEAR,34,,,00000000,,IRRIGATION STATUS,34,UNITED STATES,CROP TOTALS,,9000,CENSUS
,,00,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),"201,884,000",,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,ALL CLASSES,00,ANNUAL,NJ,,ALL UTILIZATION PRACTICES,"CROP TOTALS - SALES, MEASURED IN $",NEW JERSEY,6.5,2022,$,NEW JERSEY,SALES,,STATE,YEAR,34,,,00000000,,IRRIGATION STATUS,34,UNITED STATES,CROP TOTALS,,9000,CENSUS
,,00,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),"158,522,000",,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,ALL CLASSES,00,ANNUAL,NJ,,ALL UTILIZATION PRACTICES,"CROP TOTALS - SALES, MEASURED IN $",NEW JERSEY,15.9,2017,$,NEW JERSEY,SALES,,STATE,YEAR,34,,,00000000,,IRRIGATION STATUS,34,UNITED STATES,CROP TOTALS,,9000,CENSUS
,,00,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),"159,115,000",,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,ALL CLASSES,00,ANNUAL,NJ,,ALL UTILIZATION PRACTICES,"CROP TOTALS - SALES, MEASURED IN $",NEW JERSEY,3.6,2012,$,NEW JERSEY,SALES,,STATE,YEAR,34,,,00000000,,IRRIGATION STATUS,34,UNITED STATES,CROP TOTALS,,9000,CENSUS
