group_desc,domaincat_desc,commodity_desc,CV (%),statisticcat_desc,short_desc,source_desc,zip_5,watershed_desc,agg_level_desc,class_desc,watershed_code,state_name,country_code,sector_desc,prodn_practice_desc,asd_desc,load_time,county_code,begin_code,week_ending,state_ansi,county_name,Value,end_code,country_name,asd_code,county_ansi,state_fips_code,state_alpha,location_desc,reference_period_desc,freq_desc,congr_district_code,util_practice_desc,domain_desc,region_desc,year,unit_desc
CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,(D),SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,00,,32,,                 (D),00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2022,$
CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,41.0,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,00,,32,,"276,077,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2017,$
CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,42.9,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,00,,32,,"362,018,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2012,$
CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,"219,341,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2007,$
CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,"157,681,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2002,$
CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,"153,225,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,1997,$
CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,4.9,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,00,,32,,"438,265,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2022,$
CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,47.5,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,00,,32,,"238,435,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2017,$
CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,42.5,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,00,,32,,"336,382,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2012,$
CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,,STATE,ALL CLASSES,00000000,NEVADA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,00,,32,,"215,394,000",00,UNITED STATES,,,32,NV,NEVADA,YEAR,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2007,$
