prodn_practice_desc,sector_desc,load_time,Value,watershed_desc,county_name,end_code,region_desc,group_desc,asd_code,domaincat_desc,year,CV (%),location_desc,short_desc,class_desc,begin_code,state_alpha,util_practice_desc,asd_desc,freq_desc,state_fips_code,county_code,congr_district_code,watershed_code,county_ansi,statisticcat_desc,week_ending,state_name,unit_desc,reference_period_desc,agg_level_desc,commodity_desc,zip_5,source_desc,country_code,domain_desc,state_ansi,country_name
ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,"1,049,181,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),2022,3.9,OHIO,"CROP TOTALS - SALES, MEASURED IN $",ALL CLASSES,00,OH,ALL UTILIZATION PRACTICES,,ANNUAL,39,,,00000000,,SALES,,OHIO,$,YEAR,STATE,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,39,UNITED STATES
ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,"717,974,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),2017,3.9,OHIO,"CROP TOTALS - SALES, MEASURED IN $",ALL CLASSES,00,OH,ALL UTILIZATION PRACTICES,,ANNUAL,39,,,00000000,,SALES,,OHIO,$,YEAR,STATE,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,39,UNITED STATES
ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,"673,853,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),2012,3.3,OHIO,"CROP TOTALS - SALES, MEASURED IN $",ALL CLASSES,00,OH,ALL UTILIZATION PRACTICES,,ANNUAL,39,,,00000000,,SALES,,OHIO,$,YEAR,STATE,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,39,UNITED STATES
ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"596,278,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),2007,,OHIO,"CROP TOTALS - SALES, MEASURED IN $",ALL CLASSES,00,OH,ALL UTILIZATION PRACTICES,,ANNUAL,39,,,00000000,,SALES,,OHIO,$,YEAR,STATE,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,39,UNITED STATES
ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"563,035,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),2002,,OHIO,"CROP TOTALS - SALES, MEASURED IN $",ALL CLASSES,00,OH,ALL UTILIZATION PRACTICES,,ANNUAL,39,,,00000000,,SALES,,OHIO,$,YEAR,STATE,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,39,UNITED STATES
ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"457,847,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),1997,,OHIO,"CROP TOTALS - SALES, MEASURED IN $",ALL CLASSES,00,OH,ALL UTILIZATION PRACTICES,,ANNUAL,39,,,00000000,,SALES,,OHIO,$,YEAR,STATE,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,39,UNITED STATES
ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,"446,490,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2022,3.5,OHIO,"CROP TOTALS - SALES, MEASURED IN $",ALL CLASSES,00,OH,ALL UTILIZATION PRACTICES,,ANNUAL,39,,,00000000,,SALES,,OHIO,$,YEAR,STATE,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,39,UNITED STATES
ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,"353,558,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2017,2.9,OHIO,"CROP TOTALS - SALES, MEASURED IN $",ALL CLASSES,00,OH,ALL UTILIZATION PRACTICES,,ANNUAL,39,,,00000000,,SALES,,OHIO,$,YEAR,STATE,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,39,UNITED STATES
ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,"285,501,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2012,3.5,OHIO,"CROP TOTALS - SALES, MEASURED IN $",ALL CLASSES,00,OH,ALL UTILIZATION PRACTICES,,ANNUAL,39,,,00000000,,SALES,,OHIO,$,YEAR,STATE,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,39,UNITED STATES
ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"267,753,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2007,,OHIO,"CROP TOTALS - SALES, MEASURED IN $",ALL CLASSES,00,OH,ALL UTILIZATION PRACTICES,,ANNUAL,39,,,00000000,,SALES,,OHIO,$,YEAR,STATE,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,39,UNITED STATES
ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"295,081,000",,,00,,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2002,,OHIO,"CROP TOTALS - SALES, MEASURED IN $",ALL CLASSES,00,OH,ALL UTILIZATION PRACTICES,,ANNUAL,39,,,00000000,,SALES,,OHIO,$,YEAR,STATE,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,39,UNITED STATES
