region_desc,unit_desc,year,congr_district_code,freq_desc,domain_desc,util_practice_desc,county_ansi,state_fips_code,state_alpha,location_desc,reference_period_desc,country_name,asd_code,Value,end_code,county_name,begin_code,county_code,week_ending,state_ansi,prodn_practice_desc,asd_desc,sector_desc,load_time,country_code,state_name,agg_level_desc,watershed_desc,class_desc,watershed_code,zip_5,source_desc,statisticcat_desc,short_desc,domaincat_desc,CV (%),commodity_desc,group_desc
,$,2022,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"3,967,331,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),6.3,CROP TOTALS,CROP TOTALS
,$,2017,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"2,767,310,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),4.1,CROP TOTALS,CROP TOTALS
,$,2012,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"2,669,627,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),2.5,CROP TOTALS,CROP TOTALS
,$,2007,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"2,464,802,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,CROP TOTALS
,$,2002,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"1,877,237,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,CROP TOTALS
,$,1997,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"1,724,960,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,CROP TOTALS
,$,2022,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"2,526,342,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),10.4,CROP TOTALS,CROP TOTALS
,$,2017,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"1,477,348,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),5.2,CROP TOTALS,CROP TOTALS
,$,2012,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"1,362,355,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),1.2,CROP TOTALS,CROP TOTALS
,$,2007,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"1,530,322,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,CROP TOTALS
,$,2002,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"1,169,381,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,CROP TOTALS
,$,1997,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"1,121,430,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,CROP TOTALS
,$,2022,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"683,411,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),8.8,CROP TOTALS,CROP TOTALS
,$,2017,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"516,046,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),8.2,CROP TOTALS,CROP TOTALS
,$,2012,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"577,805,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),2.5,CROP TOTALS,CROP TOTALS
,$,2007,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"511,285,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,CROP TOTALS
,$,2002,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"317,673,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,CROP TOTALS
,$,1997,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,41,OR,OREGON,YEAR,UNITED STATES,,"455,452,000",00,,00,,,41,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,OREGON,STATE,,ALL CLASSES,00000000,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,CROP TOTALS
