county_code,state_fips_code,congr_district_code,watershed_code,county_ansi,state_name,unit_desc,statisticcat_desc,week_ending,agg_level_desc,reference_period_desc,commodity_desc,zip_5,source_desc,country_code,domain_desc,state_ansi,country_name,Value,watershed_desc,sector_desc,prodn_practice_desc,load_time,county_name,asd_code,end_code,region_desc,group_desc,domaincat_desc,location_desc,short_desc,year,CV (%),begin_code,class_desc,freq_desc,asd_desc,state_alpha,util_practice_desc
,46,,00000000,,SOUTH DAKOTA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,46,UNITED STATES,"1,190,447,000",,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),SOUTH DAKOTA,"CROP TOTALS - SALES, MEASURED IN $",2022,6.0,00,ALL CLASSES,ANNUAL,,SD,ALL UTILIZATION PRACTICES
,46,,00000000,,SOUTH DAKOTA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,46,UNITED STATES,"818,671,000",,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),SOUTH DAKOTA,"CROP TOTALS - SALES, MEASURED IN $",2017,5.5,00,ALL CLASSES,ANNUAL,,SD,ALL UTILIZATION PRACTICES
,46,,00000000,,SOUTH DAKOTA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,46,UNITED STATES,"761,327,000",,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),SOUTH DAKOTA,"CROP TOTALS - SALES, MEASURED IN $",2012,7.3,00,ALL CLASSES,ANNUAL,,SD,ALL UTILIZATION PRACTICES
,46,,00000000,,SOUTH DAKOTA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,46,UNITED STATES,"416,295,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),SOUTH DAKOTA,"CROP TOTALS - SALES, MEASURED IN $",2007,,00,ALL CLASSES,ANNUAL,,SD,ALL UTILIZATION PRACTICES
,46,,00000000,,SOUTH DAKOTA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,46,UNITED STATES,"217,567,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),SOUTH DAKOTA,"CROP TOTALS - SALES, MEASURED IN $",2002,,00,ALL CLASSES,ANNUAL,,SD,ALL UTILIZATION PRACTICES
,46,,00000000,,SOUTH DAKOTA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,46,UNITED STATES,"206,190,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),SOUTH DAKOTA,"CROP TOTALS - SALES, MEASURED IN $",1997,,00,ALL CLASSES,ANNUAL,,SD,ALL UTILIZATION PRACTICES
,46,,00000000,,SOUTH DAKOTA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,46,UNITED STATES,"42,573,000",,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),SOUTH DAKOTA,"CROP TOTALS - SALES, MEASURED IN $",2022,10.4,00,ALL CLASSES,ANNUAL,,SD,ALL UTILIZATION PRACTICES
,46,,00000000,,SOUTH DAKOTA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,46,UNITED STATES,"23,143,000",,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),SOUTH DAKOTA,"CROP TOTALS - SALES, MEASURED IN $",2017,37.7,00,ALL CLASSES,ANNUAL,,SD,ALL UTILIZATION PRACTICES
,46,,00000000,,SOUTH DAKOTA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,46,UNITED STATES,"29,364,000",,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),SOUTH DAKOTA,"CROP TOTALS - SALES, MEASURED IN $",2012,5.8,00,ALL CLASSES,ANNUAL,,SD,ALL UTILIZATION PRACTICES
,46,,00000000,,SOUTH DAKOTA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,46,UNITED STATES,"23,688,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),SOUTH DAKOTA,"CROP TOTALS - SALES, MEASURED IN $",2007,,00,ALL CLASSES,ANNUAL,,SD,ALL UTILIZATION PRACTICES
,46,,00000000,,SOUTH DAKOTA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,46,UNITED STATES,"27,115,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),SOUTH DAKOTA,"CROP TOTALS - SALES, MEASURED IN $",2002,,00,ALL CLASSES,ANNUAL,,SD,ALL UTILIZATION PRACTICES
,46,,00000000,,SOUTH DAKOTA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,46,UNITED STATES,"24,461,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),SOUTH DAKOTA,"CROP TOTALS - SALES, MEASURED IN $",1997,,00,ALL CLASSES,ANNUAL,,SD,ALL UTILIZATION PRACTICES
,46,,00000000,,SOUTH DAKOTA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,46,UNITED STATES,"6,486,833,000",,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),SOUTH DAKOTA,"CROP TOTALS - SALES, MEASURED IN $",2022,2.8,00,ALL CLASSES,ANNUAL,,SD,ALL UTILIZATION PRACTICES
,46,,00000000,,SOUTH DAKOTA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,46,UNITED STATES,"4,347,886,000",,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),SOUTH DAKOTA,"CROP TOTALS - SALES, MEASURED IN $",2017,5.7,00,ALL CLASSES,ANNUAL,,SD,ALL UTILIZATION PRACTICES
