county_name,Value,watershed_desc,prodn_practice_desc,sector_desc,load_time,domaincat_desc,asd_code,region_desc,end_code,group_desc,short_desc,location_desc,year,CV (%),freq_desc,state_alpha,asd_desc,util_practice_desc,class_desc,begin_code,watershed_code,county_ansi,county_code,state_fips_code,congr_district_code,agg_level_desc,reference_period_desc,unit_desc,state_name,statisticcat_desc,week_ending,country_code,source_desc,commodity_desc,zip_5,country_name,domain_desc,state_ansi
,"4,881,430,000",,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,IRRIGATION STATUS: (ANY ON OPERATION),,,00,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TEXAS,2022,7.1,ANNUAL,TX,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,00000000,,,48,,STATE,YEAR,$,TEXAS,SALES,,9000,CENSUS,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,48
,"4,491,535,000",,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,IRRIGATION STATUS: (ANY ON OPERATION),,,00,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TEXAS,2017,3.6,ANNUAL,TX,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,00000000,,,48,,STATE,YEAR,$,TEXAS,SALES,,9000,CENSUS,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,48
,"4,931,649,000",,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,IRRIGATION STATUS: (ANY ON OPERATION),,,00,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TEXAS,2012,6.2,ANNUAL,TX,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,00000000,,,48,,STATE,YEAR,$,TEXAS,SALES,,9000,CENSUS,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,48
,"4,476,604,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,IRRIGATION STATUS: (ANY ON OPERATION),,,00,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TEXAS,2007,,ANNUAL,TX,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,00000000,,,48,,STATE,YEAR,$,TEXAS,SALES,,9000,CENSUS,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,48
,"2,681,503,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,IRRIGATION STATUS: (ANY ON OPERATION),,,00,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TEXAS,2002,,ANNUAL,TX,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,00000000,,,48,,STATE,YEAR,$,TEXAS,SALES,,9000,CENSUS,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,48
,"3,024,968,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,IRRIGATION STATUS: (ANY ON OPERATION),,,00,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TEXAS,1997,,ANNUAL,TX,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,00000000,,,48,,STATE,YEAR,$,TEXAS,SALES,,9000,CENSUS,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,48
,"2,327,167,000",,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,,00,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TEXAS,2022,10.1,ANNUAL,TX,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,00000000,,,48,,STATE,YEAR,$,TEXAS,SALES,,9000,CENSUS,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,48
,"1,468,548,000",,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,,00,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TEXAS,2017,6.8,ANNUAL,TX,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,00000000,,,48,,STATE,YEAR,$,TEXAS,SALES,,9000,CENSUS,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,48
,"2,153,823,000",,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,,00,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TEXAS,2012,9.2,ANNUAL,TX,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,00000000,,,48,,STATE,YEAR,$,TEXAS,SALES,,9000,CENSUS,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,48
,"1,563,355,000",,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,,00,CROP TOTALS,"CROP TOTALS - SALES, MEASURED IN $",TEXAS,2007,,ANNUAL,TX,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,00000000,,,48,,STATE,YEAR,$,TEXAS,SALES,,9000,CENSUS,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,48
