reference_period_desc,agg_level_desc,week_ending,statisticcat_desc,unit_desc,state_name,county_ansi,watershed_code,congr_district_code,state_fips_code,county_code,country_name,state_ansi,domain_desc,source_desc,country_code,zip_5,commodity_desc,domaincat_desc,group_desc,region_desc,end_code,asd_code,county_name,load_time,sector_desc,prodn_practice_desc,watershed_desc,Value,state_alpha,asd_desc,util_practice_desc,freq_desc,begin_code,class_desc,CV (%),year,location_desc,short_desc
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,00,,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"758,375,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,5.1,2022,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,00,,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"612,291,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,3.0,2017,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,00,,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"558,921,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,2.1,2012,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"468,796,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2007,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"405,575,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2002,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"353,184,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,1997,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,00,,,2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"290,845,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,3.5,2022,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,00,,,2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"150,423,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,11.9,2017,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,00,,,2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"171,471,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,4.4,2012,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,,SALES,$,VIRGINIA,,00000000,,51,,UNITED STATES,51,IRRIGATION STATUS,CENSUS,9000,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,00,,,2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"155,925,000",VA,,ALL UTILIZATION PRACTICES,ANNUAL,00,ALL CLASSES,,2007,VIRGINIA,"CROP TOTALS - SALES, MEASURED IN $"
