Value,end_code,county_name,county_code,begin_code,week_ending,state_ansi,region_desc,year,unit_desc,freq_desc,congr_district_code,util_practice_desc,domain_desc,county_ansi,location_desc,state_alpha,state_fips_code,reference_period_desc,country_name,asd_code,source_desc,statisticcat_desc,short_desc,domaincat_desc,commodity_desc,CV (%),group_desc,sector_desc,asd_desc,prodn_practice_desc,load_time,state_name,country_code,watershed_desc,agg_level_desc,class_desc,watershed_code,zip_5
"65,429,000",00,,,00,,54,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,6.8,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"46,805,000",00,,,00,,54,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,8.7,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"46,794,000",00,,,00,,54,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,35.5,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"34,065,000",00,,,00,,54,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"33,245,000",00,,,00,,54,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"20,832,000",00,,,00,,54,,1997,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"36,593,000",00,,,00,,54,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,6.8,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"25,907,000",00,,,00,,54,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,14.1,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
                 (D),00,,,00,,54,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,(D),CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"13,831,000",00,,,00,,54,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"24,641,000",00,,,00,,54,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
                 (D),00,,,00,,54,,1997,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"166,822,000",00,,,00,,54,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,4.1,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"106,312,000",00,,,00,,54,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,5.0,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"92,298,000",00,,,00,,54,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,2.6,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
"44,243,000",00,,,00,,54,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,WEST VIRGINIA,WV,54,YEAR,UNITED STATES,,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,WEST VIRGINIA,9000,,STATE,ALL CLASSES,00000000,
