ANSI,Period,Start Year,End Year,Intercept (b0),Slope (b1),Data Points
1,1997-2001,1997,2001,,,48
1,2002-2006,2002,2006,,,48
1,2007-2011,2007,2011,13053710.2191,-67108864.0,46
1,2012-2016,2012,2016,,,46
1,2017-2021,2017,2021,39975830.0119,-44739242.6667,47
1,2022-2026,2022,2026,75717659.5745,0.0,47
3,1997-2001,1997,2001,26610437.5,0.0,48
3,2002-2006,2002,2006,2084569.18,-67108864.0,48
3,2007-2011,2007,2011,18769510.7055,-16777216.0,44
3,2012-2016,2012,2016,-43243744.1043,-67108864.0,46
3,2017-2021,2017,2021,47803666.6667,0.0,48
3,2022-2026,2022,2026,,,48
5,1997-2001,1997,2001,6618872.7898,134217728.0,47
5,2002-2006,2002,2006,1266043.1523,-89478485.3333,47
5,2007-2011,2007,2011,18306020.2764,-33554432.0,44
5,2012-2016,2012,2016,58273720.9302,0.0,43
5,2017-2021,2017,2021,34640231.0332,-33554432.0,47
5,2022-2026,2022,2026,-7740482.8028,178956970.6667,47
7,1997-2001,1997,2001,13751001.5374,40265318.4,46
7,2002-2006,2002,2006,19549978.2609,-0.0,46
7,2007-2011,2007,2011,28333500.0,0.0,46
7,2012-2016,2012,2016,23999205.9733,-26843545.6,45
7,2017-2021,2017,2021,27704103.4991,-11184810.6667,46
7,2022-2026,2022,2026,26755748.8711,22369621.3333,45
9,1997-2001,1997,2001,6637422.223,67108864.0,47
9,2002-2006,2002,2006,19958000.0,0.0,44
9,2007-2011,2007,2011,,,42
9,2012-2016,2012,2016,23100416.1183,40265318.4,46
9,2017-2021,2017,2021,-13179239.8162,-25165824.0,47
9,2022-2026,2022,2026,49137130.4348,0.0,46
11,1997-2001,1997,2001,,,46
11,2002-2006,2002,2006,23383766.4696,-100663296.0,46
11,2007-2011,2007,2011,32945935.2178,-29826161.7778,45
11,2012-2016,2012,2016,-54800946.2327,-134217728.0,44
11,2017-2021,2017,2021,33980977.3511,-50331648.0,45
11,2022-2026,2022,2026,74454306.0081,44739242.6667,46
13,1997-2001,1997,2001,,,45
13,2002-2006,2002,2006,,,45
13,2007-2011,2007,2011,46482837.2093,0.0,43
13,2012-2016,2012,2016,35083048.3856,-44739242.6667,39
13,2017-2021,2017,2021,11022049.7382,-134217728.0,44
13,2022-2026,2022,2026,,,44
15,1997-2001,1997,2001,10222492.1099,26843545.6,46
15,2002-2006,2002,2006,10629750.2748,16777216.0,46
15,2007-2011,2007,2011,16720738.8089,-16777216.0,45
15,2012-2016,2012,2016,-11247999.3244,-134217728.0,45
15,2017-2021,2017,2021,30704643.6104,-6710886.4,46
15,2022-2026,2022,2026,61557108.6957,-0.0,46
17,1997-2001,1997,2001,16456254.5018,-26843545.6,44
17,2002-2006,2002,2006,1734000.7293,-2147483648.0,43
17,2007-2011,2007,2011,81586739.6837,67108864.0,43
17,2012-2016,2012,2016,111007132.1164,67108864.0,44
17,2017-2021,2017,2021,30058288.5382,-16777216.0,44
17,2022-2026,2022,2026,44482987.5795,22369621.3333,43
19,1997-2001,1997,2001,43757511.9806,89478485.3333,44
19,2002-2006,2002,2006,,,44
19,2007-2011,2007,2011,22955491.7105,-67108864.0,42
19,2012-2016,2012,2016,144406880.9524,-0.0,42
19,2017-2021,2017,2021,-64580309.8865,-134217728.0,43
19,2022-2026,2022,2026,-8938946.9247,134217728.0,43
21,1997-2001,1997,2001,-31003154.9527,268435456.0,44
21,2002-2006,2002,2006,,,41
21,2007-2011,2007,2011,21986639.1467,-134217728.0,42
21,2012-2016,2012,2016,57224130.5228,-67108864.0,43
21,2017-2021,2017,2021,156788954.0724,134217728.0,42
21,2022-2026,2022,2026,111024837.2093,-0.0,43
23,1997-2001,1997,2001,8283842.2324,-33554432.0,42
23,2002-2006,2002,2006,19477095.2381,0.0,42
23,2007-2011,2007,2011,34021731.7073,0.0,41
23,2012-2016,2012,2016,50286650.0,0.0,40
23,2017-2021,2017,2021,-10584070.6895,-50331648.0,42
23,2022-2026,2022,2026,-62810683.9649,134217728.0,41
25,1997-2001,1997,2001,77050326.1486,1073741824.0,42
25,2002-2006,2002,2006,47085575.0,0.0,40
25,2007-2011,2007,2011,67024052.6316,0.0,38
25,2012-2016,2012,2016,49747792.88,-67108864.0,40
25,2017-2021,2017,2021,269352421.7444,536870912.0,41
25,2022-2026,2022,2026,,,40
27,1997-2001,1997,2001,-4162801.0493,134217728.0,43
27,2002-2006,2002,2006,,,41
27,2007-2011,2007,2011,29326930.8403,-22369621.3333,43
27,2012-2016,2012,2016,70151756.0976,0.0,41
27,2017-2021,2017,2021,50379429.9882,-11184810.6667,43
27,2022-2026,2022,2026,-86458303.139,268435456.0,42
29,1997-2001,1997,2001,,,40
29,2002-2006,2002,2006,73712972.973,-0.0,37
