commodity_desc,class_desc,util_practice_desc,statisticcat_desc,domain_desc,zip_5,congr_district_code,load_time,reference_period_desc,country_code,end_code,state_name,asd_desc,week_ending,location_desc,watershed_desc,country_name,sector_desc,freq_desc,watershed_code,prodn_practice_desc,domaincat_desc,county_code,state_alpha,state_fips_code,agg_level_desc,region_desc,unit_desc,county_ansi,short_desc,state_ansi,county_name,source_desc,begin_code,group_desc,CV (%),asd_code,year,Value
CORN,ALL CLASSES,GRAIN,YIELD,"IRRIGATION METHOD, PRIMARY",,,2012-12-31 00:00:00.000,YEAR,9000,00,IOWA,,,IOWA,,UNITED STATES,CROPS,ANNUAL,00000000,IRRIGATED,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",,IA,19,STATE,,BU / ACRE,,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",19,,CENSUS,00,FIELD CROPS,,,2013,170
CORN,ALL CLASSES,GRAIN,YIELD,"IRRIGATION METHOD, PRIMARY",,,2018-02-01 00:00:00.000,YEAR,9000,00,IOWA,,,IOWA,,UNITED STATES,CROPS,ANNUAL,00000000,IRRIGATED,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",,IA,19,STATE,,BU / ACRE,,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",19,,CENSUS,00,FIELD CROPS,0.9,,2018,203
CORN,ALL CLASSES,GRAIN,YIELD,"IRRIGATION METHOD, PRIMARY",,,2012-12-31 00:00:00.000,YEAR,9000,00,IOWA,,,IOWA,,UNITED STATES,CROPS,ANNUAL,00000000,IRRIGATED,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",,IA,19,STATE,,BU / ACRE,,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",19,,CENSUS,00,FIELD CROPS,,,2013,206
CORN,ALL CLASSES,GRAIN,YIELD,TOTAL,,,2018-02-01 00:00:00.000,YEAR,9000,00,IOWA,,,IOWA,,UNITED STATES,CROPS,ANNUAL,00000000,IRRIGATED,NOT SPECIFIED,,IA,19,STATE,,BU / ACRE,,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",19,,CENSUS,00,FIELD CROPS,0.9,,2018,203
CORN,ALL CLASSES,GRAIN,YIELD,TOTAL,,,2012-12-31 00:00:00.000,YEAR,9000,00,IOWA,,,IOWA,,UNITED STATES,CROPS,ANNUAL,00000000,IRRIGATED,NOT SPECIFIED,,IA,19,STATE,,BU / ACRE,,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",19,,CENSUS,00,FIELD CROPS,,,2013,206
CORN,ALL CLASSES,SILAGE,YIELD,"IRRIGATION METHOD, PRIMARY",,,2018-02-01 00:00:00.000,YEAR,9000,00,IOWA,,,IOWA,,UNITED STATES,CROPS,ANNUAL,00000000,IRRIGATED,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",,IA,19,STATE,,TONS / ACRE,,"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",19,,CENSUS,00,FIELD CROPS,(L),,2018,25
CORN,ALL CLASSES,SILAGE,YIELD,"IRRIGATION METHOD, PRIMARY",,,2012-12-31 00:00:00.000,YEAR,9000,00,IOWA,,,IOWA,,UNITED STATES,CROPS,ANNUAL,00000000,IRRIGATED,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",,IA,19,STATE,,TONS / ACRE,,"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",19,,CENSUS,00,FIELD CROPS,,,2013,21
CORN,ALL CLASSES,SILAGE,YIELD,TOTAL,,,2018-02-01 00:00:00.000,YEAR,9000,00,IOWA,,,IOWA,,UNITED STATES,CROPS,ANNUAL,00000000,IRRIGATED,NOT SPECIFIED,,IA,19,STATE,,TONS / ACRE,,"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",19,,CENSUS,00,FIELD CROPS,(L),,2018,25
CORN,ALL CLASSES,SILAGE,YIELD,TOTAL,,,2012-12-31 00:00:00.000,YEAR,9000,00,IOWA,,,IOWA,,UNITED STATES,CROPS,ANNUAL,00000000,IRRIGATED,NOT SPECIFIED,,IA,19,STATE,,TONS / ACRE,,"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",19,,CENSUS,00,FIELD CROPS,,,2013,21
CORN,ALL CLASSES,GRAIN,YIELD,TOTAL,,,2024-07-02 12:00:00.000,YEAR,9000,00,IOWA,,,IOWA,,UNITED STATES,CROPS,ANNUAL,00000000,"IRRIGATED, ENTIRE CROP",NOT SPECIFIED,,IA,19,STATE,,BU / ACRE,,"CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE",19,,CENSUS,00,FIELD CROPS,4.1,,2022,182.5
