year,agg_level_desc,statisticcat_desc,domaincat_desc,region_desc,load_time,reference_period_desc,state_ansi,commodity_desc,sector_desc,country_code,congr_district_code,domain_desc,watershed_code,short_desc,prodn_practice_desc,asd_desc,location_desc,asd_code,county_code,source_desc,freq_desc,state_fips_code,util_practice_desc,Value,county_name,state_name,week_ending,state_alpha,unit_desc,class_desc,country_name,zip_5,watershed_desc,end_code,begin_code,county_ansi,group_desc,CV (%)
2017,STATE,YIELD,NOT SPECIFIED,,2018-02-01 00:00:00.000,YEAR,02,BARLEY,CROPS,9000,,TOTAL,00000000,"BARLEY, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE","IRRIGATED, ENTIRE CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,BU / ACRE,ALL CLASSES,UNITED STATES,,,00,00,,FIELD CROPS,(D)
2007,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,BARLEY,CROPS,9000,,TOTAL,00000000,"BARLEY, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE","IRRIGATED, ENTIRE CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,BU / ACRE,ALL CLASSES,UNITED STATES,,,00,00,,FIELD CROPS,
2002,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,BARLEY,CROPS,9000,,TOTAL,00000000,"BARLEY, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE","IRRIGATED, ENTIRE CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,BU / ACRE,ALL CLASSES,UNITED STATES,,,00,00,,FIELD CROPS,
2022,STATE,YIELD,NOT SPECIFIED,,2024-07-02 12:00:00.000,YEAR,02,BARLEY,CROPS,9000,,TOTAL,00000000,"BARLEY, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,32.4,,ALASKA,,AK,BU / ACRE,ALL CLASSES,UNITED STATES,,,00,00,,FIELD CROPS,(L)
2017,STATE,YIELD,NOT SPECIFIED,,2018-02-01 00:00:00.000,YEAR,02,BARLEY,CROPS,9000,,TOTAL,00000000,"BARLEY, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,BU / ACRE,ALL CLASSES,UNITED STATES,,,00,00,,FIELD CROPS,(D)
2012,STATE,YIELD,NOT SPECIFIED,,2012-12-31 00:00:00.000,YEAR,02,BARLEY,CROPS,9000,,TOTAL,00000000,"BARLEY, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,47.7,,ALASKA,,AK,BU / ACRE,ALL CLASSES,UNITED STATES,,,00,00,,FIELD CROPS,(L)
2007,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,BARLEY,CROPS,9000,,TOTAL,00000000,"BARLEY, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,BU / ACRE,ALL CLASSES,UNITED STATES,,,00,00,,FIELD CROPS,
2002,STATE,YIELD,NOT SPECIFIED,,2012-01-01 00:00:00.000,YEAR,02,BARLEY,CROPS,9000,,TOTAL,00000000,"BARLEY, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE","IRRIGATED, NONE OF CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,BU / ACRE,ALL CLASSES,UNITED STATES,,,00,00,,FIELD CROPS,
2022,STATE,YIELD,NOT SPECIFIED,,2024-07-02 12:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, ENTIRE CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,(D)
2017,STATE,YIELD,NOT SPECIFIED,,2018-02-01 00:00:00.000,YEAR,02,HAY,CROPS,9000,,TOTAL,00000000,"HAY, (EXCL ALFALFA), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN TONS / ACRE","IRRIGATED, ENTIRE CROP",,ALASKA,,,CENSUS,ANNUAL,02,ALL UTILIZATION PRACTICES,                 (D),,ALASKA,,AK,TONS / ACRE,(EXCL ALFALFA),UNITED STATES,,,00,00,,FIELD CROPS,(D)
