county_code,state_fips_code,congr_district_code,watershed_code,county_ansi,state_name,unit_desc,statisticcat_desc,week_ending,agg_level_desc,reference_period_desc,commodity_desc,zip_5,source_desc,country_code,domain_desc,state_ansi,country_name,Value,watershed_desc,sector_desc,prodn_practice_desc,load_time,county_name,asd_code,region_desc,end_code,group_desc,domaincat_desc,short_desc,location_desc,CV (%),year,class_desc,begin_code,freq_desc,asd_desc,state_alpha,util_practice_desc
,01,,00000000,,ALABAMA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,01,UNITED STATES,"868,440,000",,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",ALABAMA,15.6,2022,ALL CLASSES,00,ANNUAL,,AL,ALL UTILIZATION PRACTICES
,01,,00000000,,ALABAMA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,01,UNITED STATES,"593,448,000",,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",ALABAMA,5.2,2017,ALL CLASSES,00,ANNUAL,,AL,ALL UTILIZATION PRACTICES
,01,,00000000,,ALABAMA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,01,UNITED STATES,"563,265,000",,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",ALABAMA,12.6,2012,ALL CLASSES,00,ANNUAL,,AL,ALL UTILIZATION PRACTICES
,01,,00000000,,ALABAMA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,01,UNITED STATES,"381,953,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",ALABAMA,,2007,ALL CLASSES,00,ANNUAL,,AL,ALL UTILIZATION PRACTICES
,01,,00000000,,ALABAMA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,01,UNITED STATES,"319,829,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",ALABAMA,,2002,ALL CLASSES,00,ANNUAL,,AL,ALL UTILIZATION PRACTICES
,01,,00000000,,ALABAMA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,01,UNITED STATES,"253,349,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",ALABAMA,,1997,ALL CLASSES,00,ANNUAL,,AL,ALL UTILIZATION PRACTICES
,01,,00000000,,ALABAMA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,01,UNITED STATES,"328,007,000",,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",ALABAMA,25.3,2022,ALL CLASSES,00,ANNUAL,,AL,ALL UTILIZATION PRACTICES
,01,,00000000,,ALABAMA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,01,UNITED STATES,"205,941,000",,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",ALABAMA,7.1,2017,ALL CLASSES,00,ANNUAL,,AL,ALL UTILIZATION PRACTICES
,01,,00000000,,ALABAMA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,01,UNITED STATES,"184,070,000",,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",ALABAMA,8.2,2012,ALL CLASSES,00,ANNUAL,,AL,ALL UTILIZATION PRACTICES
,01,,00000000,,ALABAMA,$,SALES,,STATE,YEAR,CROP TOTALS,,CENSUS,9000,IRRIGATION STATUS,01,UNITED STATES,"219,105,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,,00,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",ALABAMA,,2007,ALL CLASSES,00,ANNUAL,,AL,ALL UTILIZATION PRACTICES
