unit_desc,CV (%),region_desc,agg_level_desc,asd_desc,watershed_code,short_desc,county_code,asd_code,load_time,state_alpha,source_desc,domain_desc,Value,commodity_desc,begin_code,year,sector_desc,prodn_practice_desc,state_ansi,statisticcat_desc,congr_district_code,watershed_desc,country_name,week_ending,domaincat_desc,country_code,end_code,class_desc,state_name,zip_5,county_ansi,freq_desc,util_practice_desc,state_fips_code,county_name,location_desc,reference_period_desc,group_desc
BU / ACRE,,,STATE,,00000000,"BARLEY, IRRIGATED, NONE OF CROP - YIELD, MEASURED IN BU / ACRE",,,2012-01-01 00:00:00.000,AR,CENSUS,TOTAL,                 (D),BARLEY,00,2002,CROPS,"IRRIGATED, NONE OF CROP",05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,ALL UTILIZATION PRACTICES,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,0.6,,STATE,,00000000,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,,2018-02-01 00:00:00.000,AR,CENSUS,"IRRIGATION METHOD, PRIMARY",185,CORN,00,2018,CROPS,IRRIGATED,05,YIELD,,,UNITED STATES,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,,,STATE,,00000000,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,"IRRIGATION METHOD, PRIMARY",190,CORN,00,2013,CROPS,IRRIGATED,05,YIELD,,,UNITED STATES,,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,2.7,,STATE,,00000000,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,,2018-02-01 00:00:00.000,AR,CENSUS,"IRRIGATION METHOD, PRIMARY",180,CORN,00,2018,CROPS,IRRIGATED,05,YIELD,,,UNITED STATES,,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,,,STATE,,00000000,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,"IRRIGATION METHOD, PRIMARY",186,CORN,00,2013,CROPS,IRRIGATED,05,YIELD,,,UNITED STATES,,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,0.5,,STATE,,00000000,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,,2018-02-01 00:00:00.000,AR,CENSUS,TOTAL,184,CORN,00,2018,CROPS,IRRIGATED,05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
BU / ACRE,,,STATE,,00000000,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,TOTAL,189,CORN,00,2013,CROPS,IRRIGATED,05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,GRAIN,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,(L),,STATE,,00000000,"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",,,2018-02-01 00:00:00.000,AR,CENSUS,"IRRIGATION METHOD, PRIMARY",15,CORN,00,2018,CROPS,IRRIGATED,05,YIELD,,,UNITED STATES,,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,,,STATE,,00000000,"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",,,2012-12-31 00:00:00.000,AR,CENSUS,"IRRIGATION METHOD, PRIMARY",25,CORN,00,2013,CROPS,IRRIGATED,05,YIELD,,,UNITED STATES,,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
TONS / ACRE,(L),,STATE,,00000000,"CORN, SILAGE, IRRIGATED - YIELD, MEASURED IN TONS / ACRE",,,2018-02-01 00:00:00.000,AR,CENSUS,TOTAL,15,CORN,00,2018,CROPS,IRRIGATED,05,YIELD,,,UNITED STATES,,NOT SPECIFIED,9000,00,ALL CLASSES,ARKANSAS,,,ANNUAL,SILAGE,05,,ARKANSAS,YEAR,FIELD CROPS
