statisticcat_desc,short_desc,source_desc,group_desc,domaincat_desc,CV (%),commodity_desc,state_name,country_code,sector_desc,prodn_practice_desc,asd_desc,load_time,zip_5,watershed_desc,agg_level_desc,class_desc,watershed_code,Value,end_code,county_code,begin_code,state_ansi,week_ending,county_name,freq_desc,congr_district_code,util_practice_desc,domain_desc,region_desc,year,unit_desc,country_name,asd_code,county_ansi,state_alpha,reference_period_desc,state_fips_code,location_desc
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),3.1,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,,STATE,ALL CLASSES,00000000,"3,040,539,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2022,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),4.2,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"2,089,320,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2017,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),19.8,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,,STATE,ALL CLASSES,00000000,"2,073,369,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2012,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"1,907,760,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2007,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"1,587,775,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2002,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"1,275,477,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,1997,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),3.0,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,,,STATE,ALL CLASSES,00000000,"3,038,578,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2022,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),5.8,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"1,509,295,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2017,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),23.1,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,,,STATE,ALL CLASSES,00000000,"1,784,003,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2012,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,ARIZONA,9000,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,,,STATE,ALL CLASSES,00000000,"1,835,443,000",00,,00,04,,,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2007,$,UNITED STATES,,,AZ,YEAR,04,ARIZONA
