week_ending,state_ansi,county_code,begin_code,county_name,end_code,Value,country_name,asd_code,state_alpha,reference_period_desc,location_desc,state_fips_code,county_ansi,util_practice_desc,domain_desc,freq_desc,congr_district_code,year,unit_desc,region_desc,group_desc,commodity_desc,CV (%),domaincat_desc,short_desc,statisticcat_desc,source_desc,zip_5,watershed_code,class_desc,watershed_desc,agg_level_desc,state_name,country_code,load_time,sector_desc,asd_desc,prodn_practice_desc
,09,,00,,00,"449,457,000",UNITED STATES,,CT,YEAR,CONNECTICUT,09,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2022,$,,CROP TOTALS,CROP TOTALS,5.3,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,CONNECTICUT,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES
,09,,00,,00,"350,259,000",UNITED STATES,,CT,YEAR,CONNECTICUT,09,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2017,$,,CROP TOTALS,CROP TOTALS,5.3,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,CONNECTICUT,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES
,09,,00,,00,"325,957,000",UNITED STATES,,CT,YEAR,CONNECTICUT,09,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2012,$,,CROP TOTALS,CROP TOTALS,7.6,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,CONNECTICUT,9000,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES
,09,,00,,00,"355,882,000",UNITED STATES,,CT,YEAR,CONNECTICUT,09,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2007,$,,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,CONNECTICUT,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES
,09,,00,,00,"293,534,000",UNITED STATES,,CT,YEAR,CONNECTICUT,09,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2002,$,,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,CONNECTICUT,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES
,09,,00,,00,"235,450,000",UNITED STATES,,CT,YEAR,CONNECTICUT,09,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,1997,$,,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,CONNECTICUT,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES
,09,,00,,00,"269,989,000",UNITED STATES,,CT,YEAR,CONNECTICUT,09,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2022,$,,CROP TOTALS,CROP TOTALS,3.4,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,CONNECTICUT,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES
,09,,00,,00,"193,299,000",UNITED STATES,,CT,YEAR,CONNECTICUT,09,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2017,$,,CROP TOTALS,CROP TOTALS,2.8,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,CONNECTICUT,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES
,09,,00,,00,"156,290,000",UNITED STATES,,CT,YEAR,CONNECTICUT,09,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2012,$,,CROP TOTALS,CROP TOTALS,10.7,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,CONNECTICUT,9000,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES
,09,,00,,00,"204,894,000",UNITED STATES,,CT,YEAR,CONNECTICUT,09,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2007,$,,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,CONNECTICUT,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES
,09,,00,,00,"191,439,000",UNITED STATES,,CT,YEAR,CONNECTICUT,09,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2002,$,,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,CONNECTICUT,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES
,09,,00,,00,"105,610,000",UNITED STATES,,CT,YEAR,CONNECTICUT,09,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,1997,$,,CROP TOTALS,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,CONNECTICUT,9000,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES
,09,,00,,00,"59,824,000",UNITED STATES,,CT,YEAR,CONNECTICUT,09,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2022,$,,CROP TOTALS,CROP TOTALS,13.0,IRRIGATION STATUS: (NONE ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,CONNECTICUT,9000,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES
,09,,00,,00,"69,784,000",UNITED STATES,,CT,YEAR,CONNECTICUT,09,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2017,$,,CROP TOTALS,CROP TOTALS,23.2,IRRIGATION STATUS: (NONE ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,CONNECTICUT,9000,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES
,09,,00,,00,"63,180,000",UNITED STATES,,CT,YEAR,CONNECTICUT,09,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,2012,$,,CROP TOTALS,CROP TOTALS,4.9,IRRIGATION STATUS: (NONE ON OPERATION),"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,,00000000,ALL CLASSES,,STATE,CONNECTICUT,9000,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES
