year,unit_desc,region_desc,util_practice_desc,domain_desc,freq_desc,congr_district_code,location_desc,state_fips_code,state_alpha,reference_period_desc,county_ansi,country_name,asd_code,end_code,Value,county_name,state_ansi,week_ending,county_code,begin_code,load_time,sector_desc,asd_desc,prodn_practice_desc,state_name,country_code,class_desc,watershed_code,watershed_desc,agg_level_desc,zip_5,source_desc,short_desc,statisticcat_desc,commodity_desc,CV (%),domaincat_desc,group_desc
2022,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"394,613,000",,10,,,00,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,4.2,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS
2017,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"272,828,000",,10,,,00,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,5.5,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS
2012,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"339,896,000",,10,,,00,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,11.0,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS
2007,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"169,441,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS
2002,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"118,549,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS
1997,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"116,504,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS
2022,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"26,275,000",,10,,,00,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,2.6,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS
2017,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"36,949,000",,10,,,00,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,15.4,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS
2012,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"16,966,000",,10,,,00,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,9.3,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS
2007,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"24,784,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS
2002,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"24,945,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS
1997,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"17,172,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS
2022,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"76,087,000",,10,,,00,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,6.2,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS
2017,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"52,828,000",,10,,,00,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,15.9,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS
2012,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"89,142,000",,10,,,00,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,14.1,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS
2007,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"41,194,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS
2002,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"31,856,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS
1997,$,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"59,852,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS
2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"396,179,000",,10,,,00,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,4.1,NAICS CLASSIFICATION: (111),CROP TOTALS
2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"275,077,000",,10,,,00,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,6.5,NAICS CLASSIFICATION: (111),CROP TOTALS
2012,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"377,580,000",,10,,,00,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,8.8,NAICS CLASSIFICATION: (111),CROP TOTALS
2007,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"171,550,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,NAICS CLASSIFICATION: (111),CROP TOTALS
2002,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"126,625,000",,10,,,00,2012-01-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,,NAICS CLASSIFICATION: (111),CROP TOTALS
2022,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"266,158,000",,10,,,00,2024-07-02 12:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,6.4,NAICS CLASSIFICATION: (1111),CROP TOTALS
2017,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"186,233,000",,10,,,00,2018-02-01 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,9.1,NAICS CLASSIFICATION: (1111),CROP TOTALS
2012,$,,ALL UTILIZATION PRACTICES,NAICS CLASSIFICATION,ANNUAL,,DELAWARE,10,DE,YEAR,,UNITED STATES,,00,"303,622,000",,10,,,00,2012-12-31 00:00:00.000,CROPS,,ALL PRODUCTION PRACTICES,DELAWARE,9000,ALL CLASSES,00000000,,STATE,,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,CROP TOTALS,10.2,NAICS CLASSIFICATION: (1111),CROP TOTALS
