reference_period_desc,agg_level_desc,statisticcat_desc,week_ending,state_name,unit_desc,watershed_code,county_ansi,county_code,state_fips_code,congr_district_code,country_name,domain_desc,state_ansi,source_desc,country_code,commodity_desc,zip_5,domaincat_desc,region_desc,end_code,group_desc,asd_code,county_name,prodn_practice_desc,sector_desc,load_time,Value,watershed_desc,state_alpha,asd_desc,util_practice_desc,freq_desc,class_desc,begin_code,year,CV (%),location_desc,short_desc
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,"7,377,100,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2022,5.7,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,"5,406,541,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2017,4.2,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,"5,406,976,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2012,2.4,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"5,776,495,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2007,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"4,824,897,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2002,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (ANY ON OPERATION),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"4,575,493,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,1997,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,"5,370,533,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2022,6.1,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,"4,020,037,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2017,4.0,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,"4,068,691,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2012,2.4,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"4,872,414,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2007,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"4,035,097,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2002,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"3,891,165,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,1997,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,"722,208,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2022,12.2,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,"297,992,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2017,15.3,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,"562,422,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2012,2.9,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"479,733,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2007,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"216,536,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2002,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,IRRIGATION STATUS,12,CENSUS,9000,CROP TOTALS,,IRRIGATION STATUS: (NONE ON OPERATION),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"277,924,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,1997,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (111),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,"8,066,784,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2022,6.1,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (111),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,"5,670,949,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2017,4.4,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (111),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,"5,923,121,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2012,2.4,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (111),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"6,221,527,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2007,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (111),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"5,009,274,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2002,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (1111),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,"42,356,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2022,44.9,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (1111),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,"13,490,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2017,24.7,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (1111),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,"19,222,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2012,13.8,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
YEAR,STATE,SALES,,FLORIDA,$,00000000,,,12,,UNITED STATES,NAICS CLASSIFICATION,12,CENSUS,9000,CROP TOTALS,,NAICS CLASSIFICATION: (1111),,00,CROP TOTALS,,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"10,440,000",,FL,,ALL UTILIZATION PRACTICES,ANNUAL,ALL CLASSES,00,2007,,FLORIDA,"CROP TOTALS - SALES, MEASURED IN $"
