country_name,group_desc,CV (%),county_ansi,begin_code,watershed_desc,end_code,zip_5,Value,county_name,class_desc,unit_desc,state_alpha,week_ending,state_name,location_desc,asd_desc,short_desc,prodn_practice_desc,util_practice_desc,state_fips_code,freq_desc,source_desc,county_code,asd_code,region_desc,statisticcat_desc,domaincat_desc,agg_level_desc,year,watershed_code,domain_desc,country_code,congr_district_code,sector_desc,commodity_desc,state_ansi,reference_period_desc,load_time
UNITED STATES,FIELD CROPS,(L),,00,,00,,18,,"DRY EDIBLE, (EXCL CHICKPEAS & LIMA)",CWT / ACRE,HI,,HAWAII,HAWAII,,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN CWT / ACRE","IRRIGATED, ENTIRE CROP",ALL UTILIZATION PRACTICES,15,ANNUAL,CENSUS,,,,YIELD,NOT SPECIFIED,STATE,2017,00000000,TOTAL,9000,,CROPS,BEANS,15,YEAR,2018-02-01 00:00:00.000
UNITED STATES,FIELD CROPS,(D),,00,,00,,                 (D),,"DRY EDIBLE, (EXCL CHICKPEAS & LIMA)",CWT / ACRE,HI,,HAWAII,HAWAII,,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA), IRRIGATED, NONE OF CROP - YIELD, MEASURED IN CWT / ACRE","IRRIGATED, NONE OF CROP",ALL UTILIZATION PRACTICES,15,ANNUAL,CENSUS,,,,YIELD,NOT SPECIFIED,STATE,2022,00000000,TOTAL,9000,,CROPS,BEANS,15,YEAR,2024-07-02 12:00:00.000
UNITED STATES,FIELD CROPS,,,00,,00,,40,,"DRY EDIBLE, INCL CHICKPEAS",CWT / ACRE,HI,,HAWAII,HAWAII,,"BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED - YIELD, MEASURED IN CWT / ACRE",IRRIGATED,ALL UTILIZATION PRACTICES,15,ANNUAL,CENSUS,,,,YIELD,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",STATE,2013,00000000,"IRRIGATION METHOD, PRIMARY",9000,,CROPS,BEANS,15,YEAR,2012-12-31 00:00:00.000
UNITED STATES,FIELD CROPS,,,00,,00,,40,,"DRY EDIBLE, INCL CHICKPEAS",CWT / ACRE,HI,,HAWAII,HAWAII,,"BEANS, DRY EDIBLE, INCL CHICKPEAS, IRRIGATED - YIELD, MEASURED IN CWT / ACRE",IRRIGATED,ALL UTILIZATION PRACTICES,15,ANNUAL,CENSUS,,,,YIELD,NOT SPECIFIED,STATE,2013,00000000,TOTAL,9000,,CROPS,BEANS,15,YEAR,2012-12-31 00:00:00.000
UNITED STATES,FIELD CROPS,,,00,,00,,54,,ALL CLASSES,BU / ACRE,HI,,HAWAII,HAWAII,,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",IRRIGATED,GRAIN,15,ANNUAL,CENSUS,,,,YIELD,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",STATE,2013,00000000,"IRRIGATION METHOD, PRIMARY",9000,,CROPS,CORN,15,YEAR,2012-12-31 00:00:00.000
UNITED STATES,FIELD CROPS,(L),,00,,00,,59,,ALL CLASSES,BU / ACRE,HI,,HAWAII,HAWAII,,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",IRRIGATED,GRAIN,15,ANNUAL,CENSUS,,,,YIELD,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",STATE,2018,00000000,"IRRIGATION METHOD, PRIMARY",9000,,CROPS,CORN,15,YEAR,2018-02-01 00:00:00.000
UNITED STATES,FIELD CROPS,,,00,,00,,55,,ALL CLASSES,BU / ACRE,HI,,HAWAII,HAWAII,,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",IRRIGATED,GRAIN,15,ANNUAL,CENSUS,,,,YIELD,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",STATE,2013,00000000,"IRRIGATION METHOD, PRIMARY",9000,,CROPS,CORN,15,YEAR,2012-12-31 00:00:00.000
UNITED STATES,FIELD CROPS,(L),,00,,00,,59,,ALL CLASSES,BU / ACRE,HI,,HAWAII,HAWAII,,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",IRRIGATED,GRAIN,15,ANNUAL,CENSUS,,,,YIELD,NOT SPECIFIED,STATE,2018,00000000,TOTAL,9000,,CROPS,CORN,15,YEAR,2018-02-01 00:00:00.000
UNITED STATES,FIELD CROPS,,,00,,00,,54,,ALL CLASSES,BU / ACRE,HI,,HAWAII,HAWAII,,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",IRRIGATED,GRAIN,15,ANNUAL,CENSUS,,,,YIELD,NOT SPECIFIED,STATE,2013,00000000,TOTAL,9000,,CROPS,CORN,15,YEAR,2012-12-31 00:00:00.000
UNITED STATES,FIELD CROPS,(D),,00,,00,,                 (D),,ALL CLASSES,BU / ACRE,HI,,HAWAII,HAWAII,,"CORN, GRAIN, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE","IRRIGATED, ENTIRE CROP",GRAIN,15,ANNUAL,CENSUS,,,,YIELD,NOT SPECIFIED,STATE,2022,00000000,TOTAL,9000,,CROPS,CORN,15,YEAR,2024-07-02 12:00:00.000
