domaincat_desc,commodity_desc,CV (%),group_desc,source_desc,statisticcat_desc,short_desc,watershed_desc,agg_level_desc,class_desc,watershed_code,zip_5,sector_desc,prodn_practice_desc,asd_desc,load_time,state_name,country_code,county_name,county_code,begin_code,state_ansi,week_ending,Value,end_code,county_ansi,location_desc,state_alpha,reference_period_desc,state_fips_code,asd_code,country_name,region_desc,year,unit_desc,freq_desc,congr_district_code,util_practice_desc,domain_desc
IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,8.4,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,KENTUCKY,9000,,,00,21,,"636,802,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,4.8,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"477,117,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,7.2,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,KENTUCKY,9000,,,00,21,,"496,586,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"311,249,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"233,584,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"273,236,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,1997,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,13.8,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,KENTUCKY,9000,,,00,21,,"69,058,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,(D),CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2018-02-01 00:00:00.000,KENTUCKY,9000,,,00,21,,                 (D),00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,17.7,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-12-31 00:00:00.000,KENTUCKY,9000,,,00,21,,"59,803,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"61,400,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"60,218,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2012-01-01 00:00:00.000,KENTUCKY,9000,,,00,21,,"44,457,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,1997,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,6.4,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",,STATE,ALL CLASSES,00000000,,CROPS,ALL PRODUCTION PRACTICES,,2024-07-02 12:00:00.000,KENTUCKY,9000,,,00,21,,"3,154,556,000",00,,KENTUCKY,KY,YEAR,21,,UNITED STATES,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS
