congr_district_code,freq_desc,domain_desc,util_practice_desc,region_desc,unit_desc,year,asd_code,country_name,county_ansi,state_alpha,reference_period_desc,state_fips_code,location_desc,Value,end_code,begin_code,county_code,week_ending,state_ansi,county_name,country_code,state_name,prodn_practice_desc,asd_desc,sector_desc,load_time,zip_5,agg_level_desc,watershed_desc,class_desc,watershed_code,statisticcat_desc,short_desc,source_desc,group_desc,domaincat_desc,commodity_desc,CV (%)
,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2022,,UNITED STATES,,MA,YEAR,25,MASSACHUSETTS,"369,813,000",00,00,,,25,,9000,MASSACHUSETTS,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,,STATE,,ALL CLASSES,00000000,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,11.0
,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2017,,UNITED STATES,,MA,YEAR,25,MASSACHUSETTS,"293,265,000",00,00,,,25,,9000,MASSACHUSETTS,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,,STATE,,ALL CLASSES,00000000,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,14.2
,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2012,,UNITED STATES,,MA,YEAR,25,MASSACHUSETTS,"321,660,000",00,00,,,25,,9000,MASSACHUSETTS,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,,STATE,,ALL CLASSES,00000000,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,6.7
,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2007,,UNITED STATES,,MA,YEAR,25,MASSACHUSETTS,"307,066,000",00,00,,,25,,9000,MASSACHUSETTS,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,,STATE,,ALL CLASSES,00000000,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,
,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2002,,UNITED STATES,,MA,YEAR,25,MASSACHUSETTS,"241,829,000",00,00,,,25,,9000,MASSACHUSETTS,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,,STATE,,ALL CLASSES,00000000,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,
,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,1997,,UNITED STATES,,MA,YEAR,25,MASSACHUSETTS,"326,768,000",00,00,,,25,,9000,MASSACHUSETTS,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,,STATE,,ALL CLASSES,00000000,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,
,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2022,,UNITED STATES,,MA,YEAR,25,MASSACHUSETTS,"211,872,000",00,00,,,25,,9000,MASSACHUSETTS,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,,STATE,,ALL CLASSES,00000000,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,11.2
,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2017,,UNITED STATES,,MA,YEAR,25,MASSACHUSETTS,"126,861,000",00,00,,,25,,9000,MASSACHUSETTS,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,,STATE,,ALL CLASSES,00000000,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,12.7
,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2012,,UNITED STATES,,MA,YEAR,25,MASSACHUSETTS,"199,172,000",00,00,,,25,,9000,MASSACHUSETTS,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,,STATE,,ALL CLASSES,00000000,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,6.1
,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2007,,UNITED STATES,,MA,YEAR,25,MASSACHUSETTS,"182,507,000",00,00,,,25,,9000,MASSACHUSETTS,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,,STATE,,ALL CLASSES,00000000,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,
