CV (%),commodity_desc,domaincat_desc,group_desc,source_desc,short_desc,statisticcat_desc,watershed_code,class_desc,agg_level_desc,watershed_desc,zip_5,load_time,asd_desc,prodn_practice_desc,sector_desc,country_code,state_name,county_name,week_ending,state_ansi,begin_code,county_code,end_code,Value,state_alpha,state_fips_code,location_desc,reference_period_desc,county_ansi,asd_code,country_name,unit_desc,year,region_desc,domain_desc,util_practice_desc,congr_district_code,freq_desc
3.7,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,STATE,,,2024-07-02 12:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,MARYLAND,,,24,00,,00,"706,723,000",MD,24,MARYLAND,YEAR,,,UNITED STATES,$,2022,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
2.4,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,STATE,,,2018-02-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,MARYLAND,,,24,00,,00,"482,838,000",MD,24,MARYLAND,YEAR,,,UNITED STATES,$,2017,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
2.4,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,STATE,,,2012-12-31 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,MARYLAND,,,24,00,,00,"487,375,000",MD,24,MARYLAND,YEAR,,,UNITED STATES,$,2012,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,MARYLAND,,,24,00,,00,"354,630,000",MD,24,MARYLAND,YEAR,,,UNITED STATES,$,2007,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,MARYLAND,,,24,00,,00,"254,040,000",MD,24,MARYLAND,YEAR,,,UNITED STATES,$,2002,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,MARYLAND,,,24,00,,00,"190,538,000",MD,24,MARYLAND,YEAR,,,UNITED STATES,$,1997,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
3.1,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,STATE,,,2024-07-02 12:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,MARYLAND,,,24,00,,00,"170,217,000",MD,24,MARYLAND,YEAR,,,UNITED STATES,$,2022,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
5.2,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,STATE,,,2018-02-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,MARYLAND,,,24,00,,00,"180,473,000",MD,24,MARYLAND,YEAR,,,UNITED STATES,$,2017,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
3.4,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,STATE,,,2012-12-31 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,MARYLAND,,,24,00,,00,"154,313,000",MD,24,MARYLAND,YEAR,,,UNITED STATES,$,2012,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,MARYLAND,,,24,00,,00,"146,436,000",MD,24,MARYLAND,YEAR,,,UNITED STATES,$,2007,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,CENSUS,"CROP TOTALS - SALES, MEASURED IN $",SALES,00000000,ALL CLASSES,STATE,,,2012-01-01 00:00:00.000,,ALL PRODUCTION PRACTICES,CROPS,9000,MARYLAND,,,24,00,,00,"111,349,000",MD,24,MARYLAND,YEAR,,,UNITED STATES,$,2002,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL
