county_name,begin_code,county_code,week_ending,state_ansi,Value,end_code,county_ansi,state_alpha,state_fips_code,reference_period_desc,location_desc,country_name,asd_code,region_desc,unit_desc,year,congr_district_code,freq_desc,domain_desc,util_practice_desc,domaincat_desc,commodity_desc,CV (%),group_desc,source_desc,statisticcat_desc,short_desc,agg_level_desc,watershed_desc,class_desc,watershed_code,zip_5,prodn_practice_desc,asd_desc,sector_desc,load_time,country_code,state_name
,00,,,23,"344,504,000",00,,ME,23,YEAR,MAINE,UNITED STATES,,,$,2022,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,5.2,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",STATE,,ALL CLASSES,00000000,,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,9000,MAINE
,00,,,23,"238,616,000",00,,ME,23,YEAR,MAINE,UNITED STATES,,,$,2017,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,7.1,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",STATE,,ALL CLASSES,00000000,,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,9000,MAINE
,00,,,23,"274,180,000",00,,ME,23,YEAR,MAINE,UNITED STATES,,,$,2012,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,4.2,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",STATE,,ALL CLASSES,00000000,,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,9000,MAINE
,00,,,23,"174,921,000",00,,ME,23,YEAR,MAINE,UNITED STATES,,,$,2007,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",STATE,,ALL CLASSES,00000000,,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,MAINE
,00,,,23,"99,412,000",00,,ME,23,YEAR,MAINE,UNITED STATES,,,$,2002,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",STATE,,ALL CLASSES,00000000,,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,MAINE
,00,,,23,"96,433,000",00,,ME,23,YEAR,MAINE,UNITED STATES,,,$,1997,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",STATE,,ALL CLASSES,00000000,,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,MAINE
,00,,,23,"81,148,000",00,,ME,23,YEAR,MAINE,UNITED STATES,,,$,2022,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,11.9,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",STATE,,ALL CLASSES,00000000,,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,9000,MAINE
,00,,,23,"67,941,000",00,,ME,23,YEAR,MAINE,UNITED STATES,,,$,2017,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,9.0,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",STATE,,ALL CLASSES,00000000,,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,9000,MAINE
,00,,,23,"58,633,000",00,,ME,23,YEAR,MAINE,UNITED STATES,,,$,2012,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,11.7,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",STATE,,ALL CLASSES,00000000,,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,9000,MAINE
,00,,,23,"47,152,000",00,,ME,23,YEAR,MAINE,UNITED STATES,,,$,2007,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,CROP TOTALS,CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",STATE,,ALL CLASSES,00000000,,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,9000,MAINE
