agg_level_desc,reference_period_desc,state_name,unit_desc,week_ending,statisticcat_desc,county_ansi,watershed_code,congr_district_code,state_fips_code,county_code,country_name,state_ansi,domain_desc,country_code,source_desc,zip_5,commodity_desc,domaincat_desc,asd_code,group_desc,end_code,region_desc,county_name,watershed_desc,Value,load_time,sector_desc,prodn_practice_desc,freq_desc,asd_desc,state_alpha,util_practice_desc,class_desc,begin_code,short_desc,location_desc,year,CV (%)
STATE,YEAR,MINNESOTA,$,,SALES,,00000000,,27,,UNITED STATES,27,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,00,,,,"2,305,507,000",2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,ANNUAL,,MN,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MINNESOTA,2022,19.3
STATE,YEAR,MINNESOTA,$,,SALES,,00000000,,27,,UNITED STATES,27,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,00,,,,"1,382,194,000",2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,ANNUAL,,MN,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MINNESOTA,2017,5.0
STATE,YEAR,MINNESOTA,$,,SALES,,00000000,,27,,UNITED STATES,27,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,00,,,,"1,475,335,000",2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,ANNUAL,,MN,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MINNESOTA,2012,1.0
STATE,YEAR,MINNESOTA,$,,SALES,,00000000,,27,,UNITED STATES,27,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,00,,,,"778,681,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,ANNUAL,,MN,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MINNESOTA,2007,
STATE,YEAR,MINNESOTA,$,,SALES,,00000000,,27,,UNITED STATES,27,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,00,,,,"555,636,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,ANNUAL,,MN,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MINNESOTA,2002,
STATE,YEAR,MINNESOTA,$,,SALES,,00000000,,27,,UNITED STATES,27,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,00,,,,"417,576,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,ANNUAL,,MN,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MINNESOTA,1997,
STATE,YEAR,MINNESOTA,$,,SALES,,00000000,,27,,UNITED STATES,27,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,00,,,,"383,641,000",2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,ANNUAL,,MN,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MINNESOTA,2022,23.5
STATE,YEAR,MINNESOTA,$,,SALES,,00000000,,27,,UNITED STATES,27,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,00,,,,"231,714,000",2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,ANNUAL,,MN,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MINNESOTA,2017,5.4
STATE,YEAR,MINNESOTA,$,,SALES,,00000000,,27,,UNITED STATES,27,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,00,,,,"159,755,000",2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,ANNUAL,,MN,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MINNESOTA,2012,2.8
STATE,YEAR,MINNESOTA,$,,SALES,,00000000,,27,,UNITED STATES,27,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,00,,,,"149,724,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,ANNUAL,,MN,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MINNESOTA,2007,
STATE,YEAR,MINNESOTA,$,,SALES,,00000000,,27,,UNITED STATES,27,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,00,,,,"171,206,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,ANNUAL,,MN,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MINNESOTA,2002,
STATE,YEAR,MINNESOTA,$,,SALES,,00000000,,27,,UNITED STATES,27,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,00,,,,"162,508,000",2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,ANNUAL,,MN,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MINNESOTA,1997,
STATE,YEAR,MINNESOTA,$,,SALES,,00000000,,27,,UNITED STATES,27,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),,CROP TOTALS,00,,,,"14,838,260,000",2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,ANNUAL,,MN,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",MINNESOTA,2022,32.2
