group_desc,domaincat_desc,commodity_desc,CV (%),statisticcat_desc,short_desc,source_desc,zip_5,agg_level_desc,watershed_desc,class_desc,watershed_code,country_code,state_name,prodn_practice_desc,asd_desc,sector_desc,load_time,begin_code,county_code,week_ending,state_ansi,county_name,Value,end_code,country_name,asd_code,county_ansi,state_fips_code,state_alpha,location_desc,reference_period_desc,congr_district_code,freq_desc,domain_desc,util_practice_desc,region_desc,unit_desc,year
CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,14.1,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,00,,,30,,"954,472,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2022
CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,4.3,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,00,,,30,,"734,947,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2017
CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,3.4,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,00,,,30,,"940,118,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2012
CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,00,,,30,,"531,317,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2007
CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,00,,,30,,"352,487,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2002
CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,00,,,30,,"375,555,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,1997
CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,17.1,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,00,,,30,,"342,211,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2022
CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,11.5,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,00,,,30,,"298,788,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2017
CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,6.5,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,00,,,30,,"323,097,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2012
CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,00,,,30,,"197,180,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2007
CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,00,,,30,,"158,696,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2002
CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,00,,,30,,"164,690,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,1997
CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,32.2,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,00,,,30,,"1,528,983,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2022
CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,4.8,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,00,,,30,,"850,068,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2017
CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,2.1,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,00,,,30,,"1,315,878,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2012
CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,00,,,30,,"742,404,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2007
CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,00,,,30,,"380,837,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2002
CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,00,,,30,,"576,913,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,1997
CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,26.7,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,00,,,30,,"2,270,185,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,$,2022
CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,3.6,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,00,,,30,,"1,373,217,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,$,2017
CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,2.4,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,00,,,30,,"1,954,192,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,$,2012
CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,00,,,30,,"1,120,973,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,$,2007
CROP TOTALS,NAICS CLASSIFICATION: (111),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,00,,,30,,"636,346,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,$,2002
CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,32.2,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2024-07-02 12:00:00.000,00,,,30,,"1,776,784,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,$,2022
CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,4.3,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2018-02-01 00:00:00.000,00,,,30,,"1,008,099,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,$,2017
CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,2.3,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-12-31 00:00:00.000,00,,,30,,"1,612,928,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,$,2012
CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,00,,,30,,"879,989,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,$,2007
CROP TOTALS,NAICS CLASSIFICATION: (1111),CROP TOTALS,,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,,STATE,,ALL CLASSES,00000000,9000,MONTANA,ALL PRODUCTION PRACTICES,,CROPS,2012-01-01 00:00:00.000,00,,,30,,"423,414,000",00,UNITED STATES,,,30,MT,MONTANA,YEAR,,ANNUAL,NAICS CLASSIFICATION,ALL UTILIZATION PRACTICES,,$,2002
