source_desc,country_code,commodity_desc,zip_5,country_name,domain_desc,state_ansi,watershed_code,county_ansi,county_code,state_fips_code,congr_district_code,reference_period_desc,agg_level_desc,statisticcat_desc,week_ending,state_name,unit_desc,CV (%),year,location_desc,short_desc,asd_desc,util_practice_desc,state_alpha,freq_desc,class_desc,begin_code,county_name,prodn_practice_desc,sector_desc,load_time,Value,watershed_desc,domaincat_desc,region_desc,end_code,group_desc,asd_code
CENSUS,9000,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,37,00000000,,,37,,YEAR,STATE,SALES,,NORTH CAROLINA,$,8.1,2022,NORTH CAROLINA,"CROP TOTALS - SALES, MEASURED IN $",,ALL UTILIZATION PRACTICES,NC,ANNUAL,ALL CLASSES,00,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,"1,579,372,000",,IRRIGATION STATUS: (ANY ON OPERATION),,00,CROP TOTALS,
CENSUS,9000,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,37,00000000,,,37,,YEAR,STATE,SALES,,NORTH CAROLINA,$,4.5,2017,NORTH CAROLINA,"CROP TOTALS - SALES, MEASURED IN $",,ALL UTILIZATION PRACTICES,NC,ANNUAL,ALL CLASSES,00,,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,"1,356,229,000",,IRRIGATION STATUS: (ANY ON OPERATION),,00,CROP TOTALS,
CENSUS,9000,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,37,00000000,,,37,,YEAR,STATE,SALES,,NORTH CAROLINA,$,7.1,2012,NORTH CAROLINA,"CROP TOTALS - SALES, MEASURED IN $",,ALL UTILIZATION PRACTICES,NC,ANNUAL,ALL CLASSES,00,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,"1,562,205,000",,IRRIGATION STATUS: (ANY ON OPERATION),,00,CROP TOTALS,
CENSUS,9000,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,37,00000000,,,37,,YEAR,STATE,SALES,,NORTH CAROLINA,$,,2007,NORTH CAROLINA,"CROP TOTALS - SALES, MEASURED IN $",,ALL UTILIZATION PRACTICES,NC,ANNUAL,ALL CLASSES,00,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"1,254,269,000",,IRRIGATION STATUS: (ANY ON OPERATION),,00,CROP TOTALS,
CENSUS,9000,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,37,00000000,,,37,,YEAR,STATE,SALES,,NORTH CAROLINA,$,,2002,NORTH CAROLINA,"CROP TOTALS - SALES, MEASURED IN $",,ALL UTILIZATION PRACTICES,NC,ANNUAL,ALL CLASSES,00,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"974,300,000",,IRRIGATION STATUS: (ANY ON OPERATION),,00,CROP TOTALS,
CENSUS,9000,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,37,00000000,,,37,,YEAR,STATE,SALES,,NORTH CAROLINA,$,,1997,NORTH CAROLINA,"CROP TOTALS - SALES, MEASURED IN $",,ALL UTILIZATION PRACTICES,NC,ANNUAL,ALL CLASSES,00,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"866,114,000",,IRRIGATION STATUS: (ANY ON OPERATION),,00,CROP TOTALS,
CENSUS,9000,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,37,00000000,,,37,,YEAR,STATE,SALES,,NORTH CAROLINA,$,8.4,2022,NORTH CAROLINA,"CROP TOTALS - SALES, MEASURED IN $",,ALL UTILIZATION PRACTICES,NC,ANNUAL,ALL CLASSES,00,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,"465,260,000",,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,00,CROP TOTALS,
CENSUS,9000,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,37,00000000,,,37,,YEAR,STATE,SALES,,NORTH CAROLINA,$,7.8,2017,NORTH CAROLINA,"CROP TOTALS - SALES, MEASURED IN $",,ALL UTILIZATION PRACTICES,NC,ANNUAL,ALL CLASSES,00,,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,"444,535,000",,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,00,CROP TOTALS,
CENSUS,9000,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,37,00000000,,,37,,YEAR,STATE,SALES,,NORTH CAROLINA,$,13.0,2012,NORTH CAROLINA,"CROP TOTALS - SALES, MEASURED IN $",,ALL UTILIZATION PRACTICES,NC,ANNUAL,ALL CLASSES,00,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,"307,486,000",,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,00,CROP TOTALS,
CENSUS,9000,CROP TOTALS,,UNITED STATES,IRRIGATION STATUS,37,00000000,,,37,,YEAR,STATE,SALES,,NORTH CAROLINA,$,,2007,NORTH CAROLINA,"CROP TOTALS - SALES, MEASURED IN $",,ALL UTILIZATION PRACTICES,NC,ANNUAL,ALL CLASSES,00,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,"521,542,000",,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,00,CROP TOTALS,
