group_desc,location_desc,reference_period_desc,state_fips_code,county_name,freq_desc,util_practice_desc,county_ansi,class_desc,state_name,zip_5,end_code,domaincat_desc,country_code,week_ending,watershed_desc,country_name,congr_district_code,statisticcat_desc,year,sector_desc,state_ansi,prodn_practice_desc,begin_code,commodity_desc,Value,source_desc,domain_desc,load_time,state_alpha,short_desc,county_code,asd_code,asd_desc,watershed_code,agg_level_desc,region_desc,unit_desc,CV (%)
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2022,CROPS,32,"IRRIGATED, ENTIRE CROP",00,BARLEY,80.9,CENSUS,TOTAL,2024-07-02 12:00:00.000,NV,"BARLEY, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE",,,,00000000,STATE,,BU / ACRE,0.3
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2017,CROPS,32,"IRRIGATED, ENTIRE CROP",00,BARLEY,83.8,CENSUS,TOTAL,2018-02-01 00:00:00.000,NV,"BARLEY, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE",,,,00000000,STATE,,BU / ACRE,26.3
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2012,CROPS,32,"IRRIGATED, ENTIRE CROP",00,BARLEY,111.3,CENSUS,TOTAL,2012-12-31 00:00:00.000,NV,"BARLEY, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE",,,,00000000,STATE,,BU / ACRE,5.5
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2007,CROPS,32,"IRRIGATED, ENTIRE CROP",00,BARLEY,87.7,CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"BARLEY, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE",,,,00000000,STATE,,BU / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,ALL CLASSES,NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2002,CROPS,32,"IRRIGATED, ENTIRE CROP",00,BARLEY,87.2,CENSUS,TOTAL,2012-01-01 00:00:00.000,NV,"BARLEY, IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN BU / ACRE",,,,00000000,STATE,,BU / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,"DRY EDIBLE, (EXCL CHICKPEAS & LIMA)",NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2022,CROPS,32,"IRRIGATED, ENTIRE CROP",00,BEANS,                 (D),CENSUS,TOTAL,2024-07-02 12:00:00.000,NV,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN CWT / ACRE",,,,00000000,STATE,,CWT / ACRE,(D)
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,ALL UTILIZATION PRACTICES,,"DRY EDIBLE, (EXCL CHICKPEAS & LIMA)",NEVADA,,00,NOT SPECIFIED,9000,,,UNITED STATES,,YIELD,2017,CROPS,32,"IRRIGATED, ENTIRE CROP",00,BEANS,17.8,CENSUS,TOTAL,2018-02-01 00:00:00.000,NV,"BEANS, DRY EDIBLE, (EXCL CHICKPEAS & LIMA), IRRIGATED, ENTIRE CROP - YIELD, MEASURED IN CWT / ACRE",,,,00000000,STATE,,CWT / ACRE,(L)
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,GRAIN,,ALL CLASSES,NEVADA,,00,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",9000,,,UNITED STATES,,YIELD,2018,CROPS,32,IRRIGATED,00,CORN,                 (D),CENSUS,"IRRIGATION METHOD, PRIMARY",2018-02-01 00:00:00.000,NV,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,,,00000000,STATE,,BU / ACRE,(D)
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,GRAIN,,ALL CLASSES,NEVADA,,00,"IRRIGATION METHOD, PRIMARY: (GRAVITY)",9000,,,UNITED STATES,,YIELD,2013,CROPS,32,IRRIGATED,00,CORN,                 (D),CENSUS,"IRRIGATION METHOD, PRIMARY",2012-12-31 00:00:00.000,NV,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,,,00000000,STATE,,BU / ACRE,
FIELD CROPS,NEVADA,YEAR,32,,ANNUAL,GRAIN,,ALL CLASSES,NEVADA,,00,"IRRIGATION METHOD, PRIMARY: (PRESSURE)",9000,,,UNITED STATES,,YIELD,2018,CROPS,32,IRRIGATED,00,CORN,                 (D),CENSUS,"IRRIGATION METHOD, PRIMARY",2018-02-01 00:00:00.000,NV,"CORN, GRAIN, IRRIGATED - YIELD, MEASURED IN BU / ACRE",,,,00000000,STATE,,BU / ACRE,(D)
