freq_desc,congr_district_code,util_practice_desc,domain_desc,region_desc,year,unit_desc,country_name,asd_code,county_ansi,state_fips_code,state_alpha,location_desc,reference_period_desc,Value,end_code,county_code,begin_code,week_ending,state_ansi,county_name,state_name,country_code,sector_desc,asd_desc,prodn_practice_desc,load_time,zip_5,watershed_desc,agg_level_desc,watershed_code,class_desc,statisticcat_desc,short_desc,source_desc,group_desc,domaincat_desc,CV (%),commodity_desc
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2022,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"1,166,181,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),6.2,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2017,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"801,993,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),4.6,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2012,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"822,600,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),4.2,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2007,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"772,422,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2002,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"596,380,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,1997,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"517,512,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2022,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"504,017,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),5.0,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2017,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"294,818,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),6.8,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2012,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"256,344,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),9.0,CROP TOTALS
ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,2007,$,UNITED STATES,,,36,NY,NEW YORK,YEAR,"298,797,000",00,,00,,36,,NEW YORK,9000,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,STATE,00000000,ALL CLASSES,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS
