source_desc,statisticcat_desc,short_desc,domaincat_desc,CV (%),commodity_desc,group_desc,sector_desc,asd_desc,prodn_practice_desc,load_time,state_name,country_code,watershed_desc,agg_level_desc,class_desc,watershed_code,zip_5,Value,end_code,county_name,county_code,begin_code,state_ansi,week_ending,region_desc,year,unit_desc,freq_desc,congr_district_code,util_practice_desc,domain_desc,county_ansi,state_fips_code,reference_period_desc,location_desc,state_alpha,country_name,asd_code
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),3.6,CROP TOTALS,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,OKLAHOMA,9000,,STATE,ALL CLASSES,00000000,,"703,659,000",00,,,00,40,,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,40,YEAR,OKLAHOMA,OK,UNITED STATES,
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),6.4,CROP TOTALS,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,OKLAHOMA,9000,,STATE,ALL CLASSES,00000000,,"606,069,000",00,,,00,40,,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,40,YEAR,OKLAHOMA,OK,UNITED STATES,
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),11.7,CROP TOTALS,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,OKLAHOMA,9000,,STATE,ALL CLASSES,00000000,,"670,150,000",00,,,00,40,,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,40,YEAR,OKLAHOMA,OK,UNITED STATES,
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,OKLAHOMA,9000,,STATE,ALL CLASSES,00000000,,"523,202,000",00,,,00,40,,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,40,YEAR,OKLAHOMA,OK,UNITED STATES,
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,OKLAHOMA,9000,,STATE,ALL CLASSES,00000000,,"337,752,000",00,,,00,40,,,2002,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,40,YEAR,OKLAHOMA,OK,UNITED STATES,
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,OKLAHOMA,9000,,STATE,ALL CLASSES,00000000,,"311,283,000",00,,,00,40,,,1997,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,40,YEAR,OKLAHOMA,OK,UNITED STATES,
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),4.4,CROP TOTALS,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,OKLAHOMA,9000,,STATE,ALL CLASSES,00000000,,"264,656,000",00,,,00,40,,,2022,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,40,YEAR,OKLAHOMA,OK,UNITED STATES,
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),14.6,CROP TOTALS,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,OKLAHOMA,9000,,STATE,ALL CLASSES,00000000,,"177,601,000",00,,,00,40,,,2017,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,40,YEAR,OKLAHOMA,OK,UNITED STATES,
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),19.5,CROP TOTALS,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,OKLAHOMA,9000,,STATE,ALL CLASSES,00000000,,"187,533,000",00,,,00,40,,,2012,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,40,YEAR,OKLAHOMA,OK,UNITED STATES,
CENSUS,SALES,"CROP TOTALS - SALES, MEASURED IN $",IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,CROP TOTALS,CROPS,,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,OKLAHOMA,9000,,STATE,ALL CLASSES,00000000,,"163,431,000",00,,,00,40,,,2007,$,ANNUAL,,ALL UTILIZATION PRACTICES,IRRIGATION STATUS,,40,YEAR,OKLAHOMA,OK,UNITED STATES,
