domaincat_desc,asd_code,group_desc,region_desc,end_code,county_name,watershed_desc,Value,load_time,prodn_practice_desc,sector_desc,freq_desc,state_alpha,asd_desc,util_practice_desc,class_desc,begin_code,short_desc,location_desc,year,CV (%),agg_level_desc,reference_period_desc,state_name,unit_desc,week_ending,statisticcat_desc,county_ansi,watershed_code,congr_district_code,state_fips_code,county_code,country_name,state_ansi,domain_desc,country_code,source_desc,zip_5,commodity_desc
IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,,00,,,"1,390,356,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2022,7.5,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,,00,,,"1,237,638,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2017,2.5,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,,00,,,"1,164,679,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2012,2.2,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,,00,,,"1,046,773,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2007,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,,00,,,"831,669,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2002,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,,00,,,"779,509,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,1997,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,,00,,,"668,401,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2022,10.1,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,,00,,,"823,442,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2017,4.0,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,,00,,,"692,383,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2012,2.0,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,,00,,,"584,933,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,ANNUAL,PA,,ALL UTILIZATION PRACTICES,ALL CLASSES,00,"CROP TOTALS - SALES, MEASURED IN $",PENNSYLVANIA,2007,,STATE,YEAR,PENNSYLVANIA,$,,SALES,,00000000,,42,,UNITED STATES,42,IRRIGATION STATUS,9000,CENSUS,,CROP TOTALS
