Value,watershed_desc,sector_desc,prodn_practice_desc,load_time,county_name,asd_code,end_code,region_desc,group_desc,domaincat_desc,location_desc,short_desc,year,CV (%),class_desc,begin_code,freq_desc,asd_desc,util_practice_desc,state_alpha,state_fips_code,county_code,congr_district_code,watershed_code,county_ansi,unit_desc,state_name,statisticcat_desc,week_ending,agg_level_desc,reference_period_desc,commodity_desc,zip_5,country_code,source_desc,domain_desc,state_ansi,country_name
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2022,(D),ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"33,616,000",,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2017,9.5,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"41,443,000",,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2012,9.7,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"45,021,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2007,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"41,580,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2002,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"30,459,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",1997,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"40,608,000",,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2022,18.6,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"16,950,000",,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2017,16.1,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"21,809,000",,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2012,14.6,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"24,448,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2007,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"20,365,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2002,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"10,717,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",1997,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2022,(D),ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"7,293,000",,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2017,4.0,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"7,538,000",,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2012,16.8,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"10,581,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2007,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"5,558,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2002,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"11,013,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,IRRIGATION STATUS: (NONE ON OPERATION),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",1997,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,IRRIGATION STATUS,44,UNITED STATES
"71,744,000",,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (111),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2022,10.8,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
"40,585,000",,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (111),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2017,7.8,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
"48,533,000",,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (111),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2012,9.2,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
"55,387,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (111),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2007,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
"47,026,000",,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (111),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2002,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2024-07-02 12:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (1111),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2022,(D),ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2018-02-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (1111),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2017,(D),ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
"387,000",,CROPS,ALL PRODUCTION PRACTICES,2012-12-31 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (1111),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2012,(H),ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
                 (D),,CROPS,ALL PRODUCTION PRACTICES,2012-01-01 00:00:00.000,,,00,,CROP TOTALS,NAICS CLASSIFICATION: (1111),RHODE ISLAND,"CROP TOTALS - SALES, MEASURED IN $",2007,,ALL CLASSES,00,ANNUAL,,ALL UTILIZATION PRACTICES,RI,44,,,00000000,,$,RHODE ISLAND,SALES,,STATE,YEAR,CROP TOTALS,,9000,CENSUS,NAICS CLASSIFICATION,44,UNITED STATES
