asd_code,country_name,county_ansi,state_fips_code,state_alpha,reference_period_desc,location_desc,congr_district_code,freq_desc,domain_desc,util_practice_desc,region_desc,unit_desc,year,begin_code,county_code,state_ansi,week_ending,county_name,Value,end_code,zip_5,agg_level_desc,watershed_desc,class_desc,watershed_code,country_code,state_name,asd_desc,prodn_practice_desc,sector_desc,load_time,group_desc,domaincat_desc,CV (%),commodity_desc,statisticcat_desc,short_desc,source_desc
,UNITED STATES,,45,SC,YEAR,SOUTH CAROLINA,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2022,00,,45,,,"1,037,364,000",00,,STATE,,ALL CLASSES,00000000,9000,SOUTH CAROLINA,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),12.9,CROP TOTALS,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS
,UNITED STATES,,45,SC,YEAR,SOUTH CAROLINA,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2017,00,,45,,,"672,624,000",00,,STATE,,ALL CLASSES,00000000,9000,SOUTH CAROLINA,,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),11.2,CROP TOTALS,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS
,UNITED STATES,,45,SC,YEAR,SOUTH CAROLINA,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2012,00,,45,,,"650,527,000",00,,STATE,,ALL CLASSES,00000000,9000,SOUTH CAROLINA,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),6.2,CROP TOTALS,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS
,UNITED STATES,,45,SC,YEAR,SOUTH CAROLINA,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2007,00,,45,,,"496,289,000",00,,STATE,,ALL CLASSES,00000000,9000,SOUTH CAROLINA,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS
,UNITED STATES,,45,SC,YEAR,SOUTH CAROLINA,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2002,00,,45,,,"343,255,000",00,,STATE,,ALL CLASSES,00000000,9000,SOUTH CAROLINA,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS
,UNITED STATES,,45,SC,YEAR,SOUTH CAROLINA,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,1997,00,,45,,,"300,121,000",00,,STATE,,ALL CLASSES,00000000,9000,SOUTH CAROLINA,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS
,UNITED STATES,,45,SC,YEAR,SOUTH CAROLINA,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2022,00,,45,,,"417,674,000",00,,STATE,,ALL CLASSES,00000000,9000,SOUTH CAROLINA,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),16.2,CROP TOTALS,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS
,UNITED STATES,,45,SC,YEAR,SOUTH CAROLINA,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2017,00,,45,,,"237,746,000",00,,STATE,,ALL CLASSES,00000000,9000,SOUTH CAROLINA,,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),5.7,CROP TOTALS,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS
,UNITED STATES,,45,SC,YEAR,SOUTH CAROLINA,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2012,00,,45,,,"178,552,000",00,,STATE,,ALL CLASSES,00000000,9000,SOUTH CAROLINA,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),11.2,CROP TOTALS,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS
,UNITED STATES,,45,SC,YEAR,SOUTH CAROLINA,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2007,00,,45,,,"277,916,000",00,,STATE,,ALL CLASSES,00000000,9000,SOUTH CAROLINA,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS
