class_desc,begin_code,freq_desc,state_alpha,asd_desc,util_practice_desc,location_desc,short_desc,CV (%),year,asd_code,group_desc,end_code,region_desc,domaincat_desc,watershed_desc,Value,load_time,prodn_practice_desc,sector_desc,county_name,state_ansi,domain_desc,country_name,zip_5,commodity_desc,country_code,source_desc,unit_desc,state_name,week_ending,statisticcat_desc,agg_level_desc,reference_period_desc,congr_district_code,state_fips_code,county_code,county_ansi,watershed_code
ALL CLASSES,00,ANNUAL,TN,,ALL UTILIZATION PRACTICES,TENNESSEE,"CROP TOTALS - SALES, MEASURED IN $",3.4,2022,,CROP TOTALS,00,,IRRIGATION STATUS: (ANY ON OPERATION),,"1,223,930,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,47,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS,$,TENNESSEE,,SALES,STATE,YEAR,,47,,,00000000
ALL CLASSES,00,ANNUAL,TN,,ALL UTILIZATION PRACTICES,TENNESSEE,"CROP TOTALS - SALES, MEASURED IN $",6.4,2017,,CROP TOTALS,00,,IRRIGATION STATUS: (ANY ON OPERATION),,"865,132,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,47,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS,$,TENNESSEE,,SALES,STATE,YEAR,,47,,,00000000
ALL CLASSES,00,ANNUAL,TN,,ALL UTILIZATION PRACTICES,TENNESSEE,"CROP TOTALS - SALES, MEASURED IN $",6.8,2012,,CROP TOTALS,00,,IRRIGATION STATUS: (ANY ON OPERATION),,"838,404,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,47,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS,$,TENNESSEE,,SALES,STATE,YEAR,,47,,,00000000
ALL CLASSES,00,ANNUAL,TN,,ALL UTILIZATION PRACTICES,TENNESSEE,"CROP TOTALS - SALES, MEASURED IN $",,2007,,CROP TOTALS,00,,IRRIGATION STATUS: (ANY ON OPERATION),,"483,062,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,47,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS,$,TENNESSEE,,SALES,STATE,YEAR,,47,,,00000000
ALL CLASSES,00,ANNUAL,TN,,ALL UTILIZATION PRACTICES,TENNESSEE,"CROP TOTALS - SALES, MEASURED IN $",,2002,,CROP TOTALS,00,,IRRIGATION STATUS: (ANY ON OPERATION),,"365,315,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,47,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS,$,TENNESSEE,,SALES,STATE,YEAR,,47,,,00000000
ALL CLASSES,00,ANNUAL,TN,,ALL UTILIZATION PRACTICES,TENNESSEE,"CROP TOTALS - SALES, MEASURED IN $",,1997,,CROP TOTALS,00,,IRRIGATION STATUS: (ANY ON OPERATION),,"269,442,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,47,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS,$,TENNESSEE,,SALES,STATE,YEAR,,47,,,00000000
ALL CLASSES,00,ANNUAL,TN,,ALL UTILIZATION PRACTICES,TENNESSEE,"CROP TOTALS - SALES, MEASURED IN $",5.9,2022,,CROP TOTALS,00,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,"232,754,000",2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,47,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS,$,TENNESSEE,,SALES,STATE,YEAR,,47,,,00000000
ALL CLASSES,00,ANNUAL,TN,,ALL UTILIZATION PRACTICES,TENNESSEE,"CROP TOTALS - SALES, MEASURED IN $",9.2,2017,,CROP TOTALS,00,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,"175,853,000",2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,47,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS,$,TENNESSEE,,SALES,STATE,YEAR,,47,,,00000000
ALL CLASSES,00,ANNUAL,TN,,ALL UTILIZATION PRACTICES,TENNESSEE,"CROP TOTALS - SALES, MEASURED IN $",7.3,2012,,CROP TOTALS,00,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,"184,937,000",2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,47,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS,$,TENNESSEE,,SALES,STATE,YEAR,,47,,,00000000
ALL CLASSES,00,ANNUAL,TN,,ALL UTILIZATION PRACTICES,TENNESSEE,"CROP TOTALS - SALES, MEASURED IN $",,2007,,CROP TOTALS,00,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,"197,741,000",2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,CROPS,,47,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS,$,TENNESSEE,,SALES,STATE,YEAR,,47,,,00000000
