short_desc,statisticcat_desc,source_desc,group_desc,CV (%),commodity_desc,domaincat_desc,country_code,state_name,load_time,prodn_practice_desc,asd_desc,sector_desc,zip_5,class_desc,watershed_code,agg_level_desc,watershed_desc,end_code,Value,week_ending,state_ansi,begin_code,county_code,county_name,domain_desc,util_practice_desc,congr_district_code,freq_desc,unit_desc,year,region_desc,asd_code,country_name,state_alpha,state_fips_code,location_desc,reference_period_desc,county_ansi
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,11.2,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),9000,UTAH,2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"692,776,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,2022,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,22.4,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),9000,UTAH,2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"546,003,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,2017,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,4.1,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),9000,UTAH,2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"558,127,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,2012,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"364,449,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,2007,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"252,566,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,2002,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"244,650,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,1997,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,11.6,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),9000,UTAH,2024-07-02 12:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"537,933,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,2022,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,27.6,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),9000,UTAH,2018-02-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"429,534,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,2017,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,4.1,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),9000,UTAH,2012-12-31 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"458,018,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,2012,,,UNITED STATES,UT,49,UTAH,YEAR,
"CROP TOTALS - SALES, MEASURED IN $",SALES,CENSUS,CROP TOTALS,,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),9000,UTAH,2012-01-01 00:00:00.000,ALL PRODUCTION PRACTICES,,CROPS,,ALL CLASSES,00000000,STATE,,00,"301,093,000",,49,00,,,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,ANNUAL,$,2007,,,UNITED STATES,UT,49,UTAH,YEAR,
