group_desc,end_code,region_desc,asd_code,domaincat_desc,load_time,sector_desc,prodn_practice_desc,watershed_desc,Value,county_name,begin_code,class_desc,asd_desc,state_alpha,util_practice_desc,freq_desc,year,CV (%),short_desc,location_desc,week_ending,statisticcat_desc,unit_desc,state_name,reference_period_desc,agg_level_desc,congr_district_code,county_code,state_fips_code,county_ansi,watershed_code,state_ansi,domain_desc,country_name,zip_5,commodity_desc,country_code,source_desc
CROP TOTALS,00,,,IRRIGATION STATUS: (ANY ON OPERATION),2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"7,906,477,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2022,7.7,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,IRRIGATION STATUS: (ANY ON OPERATION),2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"6,311,015,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2017,5.7,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,IRRIGATION STATUS: (ANY ON OPERATION),2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"5,519,582,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2012,8.4,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,IRRIGATION STATUS: (ANY ON OPERATION),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"4,074,608,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2007,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,IRRIGATION STATUS: (ANY ON OPERATION),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"3,107,309,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2002,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,IRRIGATION STATUS: (ANY ON OPERATION),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"2,815,633,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,1997,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2024-07-02 12:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"6,118,001,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2022,8.9,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2018-02-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"4,958,020,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2017,6.6,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2012-12-31 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"4,472,439,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2012,10.4,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
CROP TOTALS,00,,,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),2012-01-01 00:00:00.000,CROPS,ALL PRODUCTION PRACTICES,,"3,347,095,000",,00,ALL CLASSES,,WA,ALL UTILIZATION PRACTICES,ANNUAL,2007,,"CROP TOTALS - SALES, MEASURED IN $",WASHINGTON,,SALES,$,WASHINGTON,YEAR,STATE,,,53,,00000000,53,IRRIGATION STATUS,UNITED STATES,,CROP TOTALS,9000,CENSUS
