statisticcat_desc,short_desc,source_desc,group_desc,domaincat_desc,CV (%),commodity_desc,country_code,state_name,asd_desc,prodn_practice_desc,sector_desc,load_time,zip_5,agg_level_desc,watershed_desc,watershed_code,class_desc,Value,end_code,begin_code,county_code,state_ansi,week_ending,county_name,congr_district_code,freq_desc,domain_desc,util_practice_desc,region_desc,unit_desc,year,asd_code,country_name,county_ansi,location_desc,state_fips_code,state_alpha,reference_period_desc
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),11.8,CROP TOTALS,9000,WYOMING,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,,STATE,,00000000,ALL CLASSES,"336,016,000",00,00,,56,,,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2022,,UNITED STATES,,WYOMING,56,WY,YEAR
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),8.4,CROP TOTALS,9000,WYOMING,,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,,STATE,,00000000,ALL CLASSES,"302,066,000",00,00,,56,,,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2017,,UNITED STATES,,WYOMING,56,WY,YEAR
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),6.4,CROP TOTALS,9000,WYOMING,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,,STATE,,00000000,ALL CLASSES,"412,956,000",00,00,,56,,,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2012,,UNITED STATES,,WYOMING,56,WY,YEAR
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,9000,WYOMING,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,STATE,,00000000,ALL CLASSES,"197,762,000",00,00,,56,,,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2007,,UNITED STATES,,WYOMING,56,WY,YEAR
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,9000,WYOMING,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,STATE,,00000000,ALL CLASSES,"131,431,000",00,00,,56,,,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2002,,UNITED STATES,,WYOMING,56,WY,YEAR
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (ANY ON OPERATION),,CROP TOTALS,9000,WYOMING,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,STATE,,00000000,ALL CLASSES,"163,838,000",00,00,,56,,,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,1997,,UNITED STATES,,WYOMING,56,WY,YEAR
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),16.8,CROP TOTALS,9000,WYOMING,,ALL PRODUCTION PRACTICES,CROPS,2024-07-02 12:00:00.000,,STATE,,00000000,ALL CLASSES,"244,925,000",00,00,,56,,,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2022,,UNITED STATES,,WYOMING,56,WY,YEAR
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),10.4,CROP TOTALS,9000,WYOMING,,ALL PRODUCTION PRACTICES,CROPS,2018-02-01 00:00:00.000,,STATE,,00000000,ALL CLASSES,"224,955,000",00,00,,56,,,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2017,,UNITED STATES,,WYOMING,56,WY,YEAR
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),5.7,CROP TOTALS,9000,WYOMING,,ALL PRODUCTION PRACTICES,CROPS,2012-12-31 00:00:00.000,,STATE,,00000000,ALL CLASSES,"312,668,000",00,00,,56,,,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2012,,UNITED STATES,,WYOMING,56,WY,YEAR
SALES,"CROP TOTALS - SALES, MEASURED IN $",CENSUS,CROP TOTALS,IRRIGATION STATUS: (HARVESTED CROPLAND IS ENTIRELY IRRIGATED),,CROP TOTALS,9000,WYOMING,,ALL PRODUCTION PRACTICES,CROPS,2012-01-01 00:00:00.000,,STATE,,00000000,ALL CLASSES,"156,752,000",00,00,,56,,,,ANNUAL,IRRIGATION STATUS,ALL UTILIZATION PRACTICES,,$,2007,,UNITED STATES,,WYOMING,56,WY,YEAR
